domain;category;type
Tourismus;Uebernachtung;Hostel
Tourismus;Uebernachtung;Hotel
Tourismus;Uebernachtung;Sonstige
Tourismus;Sehenswuerdigkeit;Kunstwerk
Vergnuegung;Kultur;Kunstzentrum
Vergnuegung;Kultur;Gallerie
Tourismus;Info;Info
Vergnuegung;Kultur;Museum
Tourismus;Sehenswuerdigkeit;Aussichtspunkt
Vergnuegung;Kultur;Zoo
Sport und Erholung;Sport;Schwimmen
Sport und Erholung;Sport;Basketball
Sport und Erholung;Sport;Fussball
Sport und Erholung;Sport;Sportzentrum
Sport und Erholung;Sport;Tischtennis
Sport und Erholung;Erholung;Sauna
Sport und Erholung;Sport;Tennis
Sport und Erholung;Sport;Kampfsport
Sport und Erholung;Sport;Fitnesszentrum
Sport und Erholung;Erholung;Spielplatz
Sport und Erholung;Erholung;Wassersport
Vergnuegung;Zwielicht;Spielothek
Sport und Erholung;Sport;Sonstige Sportarten
Public Service;Bildung;Kindergarten
Buero;Buero;Buero
Mobilitaet;Individual;Tankstelle
Sonstiges;Hipster;Coworking-Space
Public Service;Bildung;Universitaet
Public Service;Sicherheit;Poilzei
Public Service;Sicherheit;Feuerwehr
Public Service;Bildung;KiTa
Public Service;Bildung;Hoehere Schule
Public Service;Sonstiges;Wochenmarkt
Vergnuegung;Ausgehen;Kino
Vergnuegung;Gaststaetten;Biergarten
Mobilitaet;Individual;Autovermietung
Public Service;Bildung;Buecherei
Public Service;Sozial;Nachbarschaftszentrum
Vergnuegung;Kultur;Theater
Gastronomie;Cafe;Eisdiele
Vergnuegung;Ausgehen;Nachtclub
Religion;Religioese Gebaeude;Kirche
Religion;Religioese Gebaeude;Moschee
Religion;Religioese Gebaeude;Sonstige Tempel
Public Service;Bildung;Schule
Vergnuegung;Zwielicht;Bordell
Oeffentlicher Raum;Post;Post Filiale
Public Service;Sozial;Sozialeinrichtung
Mobilitaet;Individual;Ladestation
Public Service;Gesundheit;Zahnarzt
Mobilitaet;Individual;Fahrradverleih
Public Service;Sonstiges;Fahrschule
Public Service;Gesundheit;Tierarzt
Sonstiges;Sonstiges;Botschaft
Mobilitaet;Individual;Taxistand
Oeffentlicher Raum;WC;WC
Public Service;Bank;Bankfiliale
Public Service;Gesundheit;Arzt
Mobilitaet;Individual;Parkplatz
Vergnuegung;Gaststaetten;Bar
Public Service;Gesundheit;Apotheke
Vergnuegung;Gaststaetten;Pub
Oeffentlicher Raum;Telefon;Telefon
Gastronomie;Cafe;Kaffee
Gastronomie;Cafe;Sonstige Cafes
Mobilitaet;Individual;Fahrrad Parkplatz
Oeffentlicher Raum;Recycling;Muelleimer
Oeffentlicher Raum;Parkbank;Parkbank
Public Service;Gesundheit;Krankenhaus
Public Service;Gesundheit;Klinik
Public Service;Bank;Geldautomat
Oeffentlicher Raum;Briefe und Pakete;Briefkasten
Religion;Friedhof;Friedhof
Public Service;Sonstiges;Musikschule
Oeffentlicher Raum;Briefe und Pakete;Paketautomat
