@relation '20180909_h1_bzr-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R2-230-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,1-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,86,85'

@attribute r.oa_total_d_vergnuegung_stock numeric
@attribute r.oa_total_d_sport_und_erholung_stock numeric
@attribute r.oa_total_d_public_service_stock numeric
@attribute r.oa_total_d_buero_stock numeric
@attribute r.oa_total_d_mobilitaet_stock numeric
@attribute r.oa_total_d_sonstiges_stock numeric
@attribute r.oa_total_d_gastronomie_stock numeric
@attribute r.oa_total_d_religion_stock numeric
@attribute r.oa_total_d_oeffentlicher_raum_stock numeric
@attribute r.oa_total_d_dienstleistung_stock numeric
@attribute r.oa_total_d_waren_stock numeric
@attribute r.oa_total_d_leerstand_stock numeric
@attribute r.oa_gastro_c_fast_food_stock numeric
@attribute r.oa_gastro_c_restaurant_stock numeric
@attribute r.oa_gastro_c_cafe_stock numeric
@attribute r.oa_gastro_t_restaurant_italiener_stock numeric
@attribute r.oa_gastro_t_restaurant_deutsch_stock numeric
@attribute r.oa_gastro_t_restaurant_indisch_stock numeric
@attribute r.oa_gastro_t_restaurant_asiatisch_stock numeric
@attribute r.oa_gastro_t_restaurant_sushi_stock numeric
@attribute r.oa_gastro_t_restaurant_griechisch_stock numeric
@attribute r.oa_gastro_t_restaurant_steakhouse_stock numeric
@attribute r.oa_gastro_t_restaurant_international_stock numeric
@attribute r.oa_gastro_t_restaurant_tuerkisch_stock numeric
@attribute r.oa_gastro_t_restaurant_sonstiges_stock numeric
@attribute r.oa_gastro_t_eisdiele_stock numeric
@attribute r.oa_gastro_t_sonstige_cafes_stock numeric
@attribute r.oa_gastro_t_kaffee_stock numeric
@attribute r.oa_gastro_t_fastfood_kebap_stock numeric
@attribute r.oa_gastro_t_fastfood_burger_stock numeric
@attribute r.oa_gastro_t_fastfood_asiatisch_stock numeric
@attribute r.oa_gastro_t_fastfood_pizza_stock numeric
@attribute r.oa_gastro_t_fastfood_pommesbude_stock numeric
@attribute r.oa_gastro_t_fast_food_sonstiges_stock numeric
@attribute r.oa_dl_c_friseur_stock numeric
@attribute r.oa_dl_c_kosmetik_und_beauty_stock numeric
@attribute r.oa_dl_c_massage_stock numeric
@attribute r.oa_dl_c_reisen_stock numeric
@attribute r.oa_dl_c_waescherei_stock numeric
@attribute r.oa_dl_c_beerdigung_stock numeric
@attribute r.oa_pubserv_c_bildung_stock numeric
@attribute r.oa_pubserv_c_sicherheit_stock numeric
@attribute r.oa_pubserv_c_sonstiges_stock numeric
@attribute r.oa_pubserv_c_sozial_stock numeric
@attribute r.oa_pubserv_c_gesundheit_stock numeric
@attribute r.oa_pubserv_c_bank_stock numeric
@attribute r.oa_waren_c_essen_und_trinken_stock numeric
@attribute r.oa_waren_c_kleidung_stock numeric
@attribute r.oa_waren_c_sonstige_waren_stock numeric
@attribute r.oa_waren_c_werkstatt_stock numeric
@attribute r.oa_waren_c_medical_stock numeric
@attribute r.oa_waren_c_print_stock numeric
@attribute r.oa_waren_c_drogerie_stock numeric
@attribute r.oa_waren_c_technik_stock numeric
@attribute r.oa_waren_c_spielzeug_und_geschenke_stock numeric
@attribute r.oa_waren_c_kunst_stock numeric
@attribute r.oa_waren_c_handwerk_stock numeric
@attribute r.oa_waren_c_sonstiger_shop_stock numeric
@attribute r.oa_vergnuegung_t_kunstzentrum_stock numeric
@attribute r.oa_vergnuegung_t_gallerie_stock numeric
@attribute r.oa_vergnuegung_t_museum_stock numeric
@attribute r.oa_vergnuegung_t_zoo_stock numeric
@attribute r.oa_vergnuegung_t_spielothek_stock numeric
@attribute r.oa_vergnuegung_t_kino_stock numeric
@attribute r.oa_vergnuegung_t_biergarten_stock numeric
@attribute r.oa_vergnuegung_t_theater_stock numeric
@attribute r.oa_vergnuegung_t_nachtclub_stock numeric
@attribute r.oa_vergnuegung_t_bordell_stock numeric
@attribute r.oa_vergnuegung_t_bar_stock numeric
@attribute r.oa_vergnuegung_t_pub_stock numeric
@attribute r.oa_sport_t_schwimmen_stock numeric
@attribute r.oa_sport_t_basketball_stock numeric
@attribute r.oa_sport_t_fussball_stock numeric
@attribute r.oa_sport_t_sportzentrum_stock numeric
@attribute r.oa_sport_t_tischtennis_stock numeric
@attribute r.oa_sport_t_sauna_stock numeric
@attribute r.oa_sport_t_tennis_stock numeric
@attribute r.oa_sport_t_kampfsport_stock numeric
@attribute r.oa_sport_t_fitnesszentrum_stock numeric
@attribute r.oa_sport_t_spielplatz_stock numeric
@attribute r.oa_sport_t_wassersport_stock numeric
@attribute r.oa_sport_t_sonstige_sportarten_stock numeric
@attribute r.oa_sport_t_sonstiges_sport_stock numeric
@attribute r.oa_sport_t_sonstiges_erholung_stock numeric
@attribute r.oa_total_d_tourismus_stock numeric
@attribute r.status_klasse_prj_bi {niedrig,hoch}

@data
1.306027,0.642916,0.565984,1.610187,0.970279,5.368864,1.205848,1.021072,1.19687,0.492168,0.394668,0,0.507151,1.213722,1.157911,0.710412,1.048807,0,0.325526,0,0.676583,1.086795,3.887972,0,1.812423,1.506801,0.276046,2.359367,0.175156,1.053611,0.750125,0.816704,0.750125,0.431862,1.032795,0.663072,0.751481,0.929029,2.012897,0,1.152541,0,3.835598,0.597688,0.607986,1.596588,0.83961,0.39684,1.236163,0.686821,1.844206,0,0,2.703259,2.077381,4.903585,0,1.549133,0.951014,6.951049,3.063363,0,0.878868,2.89627,0,1.619948,2.377535,0.34257,1.129751,0.194658,0,0,0,0,2.596168,4.622768,0,0,0,0.295519,0,0.980587,0,2.396991,2.935645,niedrig
1.641341,1.077624,1.210379,1.624426,0.687703,0,1.576572,0,0.700994,1.289574,1.254613,0,1.214117,0.898728,0.982812,0.646055,0.741839,0.932733,1.266375,0.439757,1.914236,1.537418,1.031261,1.785842,0.788897,0.852629,1.366764,0.417205,1.982254,1.117855,1.32644,1.444172,1.061152,0.794204,0.9894,0.702076,1.591373,1.311571,0.710434,0,1.28159,0,1.658637,1.550758,0.74492,0.564886,1.139835,0.500259,0.667849,1.298717,1.251824,0,0.699689,1.769406,0.906494,1.426498,0.613394,1.502189,0.699803,0.852487,0,0,5.820429,0,0,0,0.349901,1.008318,0.831326,0.859432,0,0,0,0,2.04624,5.100985,0,1.519442,0,0.081523,0,3.787095,0,1.851469,0.452468,niedrig
1.128041,0.714368,1.092277,1.095742,1.398277,3.349081,0.791112,2.866238,0.984584,0.575649,0.592401,0,0.890232,1.054857,0.990868,1.157956,1.495839,1.880756,0.928549,0.886723,0,0.77501,0,2.40064,0.994204,0.859618,1.181115,0.84125,0.999251,1.502691,0,0.582404,2.139701,0.862307,1.062304,0,1.20237,1.486447,1.610317,0,1.197445,2.193473,1.859684,1.738729,0.442172,1.196341,1.500395,0.329841,0.330255,1.070371,1.149635,1.394605,0,1.263861,0.647495,0,0,1.180292,1.030265,0,1.327457,0,1.904215,1.045875,2.300926,1.169962,1.030265,1.484468,0.611948,0.91381,0,0,0,2.319149,2.498567,0,0,0,2.868421,0.373288,0,1.651515,0,1.211111,1.526039,niedrig
1.956391,0.640222,1.03329,1.06896,0.45137,0,0.754523,3.389314,1.07267,1.470317,1.408301,2.301909,2.317859,0.442657,0.491406,0.215352,0.445103,0,1.036125,0,0,0,1.031261,1.785842,0.394449,0.639472,0.585756,0,4.088399,1.117855,0.795864,2.599509,3.183457,1.832779,1.180337,1.178794,0.667984,0.412902,0.44731,1.41789,1.257317,0,1.394763,1.304047,0.663257,0.844476,1.18717,0.787527,0.919936,1.022246,0.686216,0.624329,0.894951,1.760261,0.772979,0,0,1.024749,0,2.053719,0.543051,0,4.673981,0,0,0.478621,0.421472,1.518206,0.500685,0.977712,0,5.567204,0,0,2.967049,0,0,1.835993,0,0.788052,0,0,0,0,0.703768,niedrig
1.300404,0.823523,0.782215,1.65791,0.985494,0,0.717634,2.753497,1.258751,0.707848,0.860301,0,2.121255,0.515595,0.629614,0.551838,0,0,0.885024,0,0,0,0.880869,1.525407,0.589618,1.092431,0.500333,0,1.269882,0.954835,0,1.480276,2.719203,3.287547,0.774596,0.994608,0.563611,3.48386,0.754836,0,0.449772,3.530957,0.997879,0.932976,1.344489,1.246118,1.412623,0.196374,0.873871,1.869287,0,0.276764,0.396731,2.340966,0,0,3.130206,0.851757,2.060531,0,1.327457,0,2.856322,1.045875,0,0.584981,2.060531,0.371117,0.856728,0.843517,0,3.516129,0,2.319149,3.747851,3.892857,0,0,0,0.373288,0,0,0,0,0.659706,niedrig
1.218207,0.626456,1.433886,0.456426,0.861247,0,0.76351,0.53063,1.337276,0.852565,0.623848,0,1.600947,0.747126,0.760289,0.666371,0.688651,0.721548,0.534354,0,0,0,0.797768,1.3815,0.991703,0,1.359396,0.968231,1.437602,1.729512,2.462674,1.340627,1.231337,1.559591,1.062304,0.795686,1.352667,0.557418,1.207738,0,0.810578,0,1.049052,0.245205,1.662867,0.595464,1.177755,0.782807,1.62564,1.129021,0.404209,0,0,0.444371,0,0,1.386438,1.131786,1.059701,0,0.682692,0,1.468966,2.151515,0,0,0,1.908602,1.132979,1.01222,0,0,10.620513,0,1.582426,0,0,0,0,1.103272,0,0,0,1.534074,1.271328,niedrig
2.191821,1.25903,0.997537,1.528849,0.414233,0,1.003682,1.066442,0.916704,2.170377,1.305314,0,1.794908,0.602849,1.065501,0.679186,0,1.103136,0.680787,0,0.565988,0.454573,0,2.112101,0.660891,0.504199,2.078308,0,2.783971,1.762772,1.882525,2.732817,0.627508,1.228314,1.02503,0.732869,0.47462,2.053644,0.953477,0.503724,1.008219,0,1.515298,1.888989,0.880704,0.802774,1.272673,0.612665,0.669201,0.795267,0.776508,0.824224,1.181492,2.703259,0.218672,0,0,1.050874,0.39457,2.883946,0,0,2.734776,0,0,0.224035,0,1.13704,1.59367,0.780702,0,1.484588,0,1.468794,2.373639,0,0,1.468794,1.211111,0.420294,0,1.743266,0,1.022716,0.425845,niedrig
1.107333,1.204127,1.187978,3.7815,0.856254,0,1.088498,1.582662,0.901808,0.593336,0.747677,0,0.937818,1.042045,0.927852,0.580882,1.440729,0.503185,0.558962,0,0,1.244094,1.112676,2.890244,1.383165,0.689956,0.948,1.350427,0.601523,0,0.429348,1.869822,0,1.285357,0.885253,0.568347,0.644127,0.796311,3.45068,0,0.932165,1.113609,0.629431,2.353971,0.99772,0.857468,1.282314,0.432916,1.252218,1.311204,0.33531,1.52535,1.311917,0.368626,0,0.891561,2.300227,0.657208,2.318097,4.235795,3.733474,0,2.677802,1.17661,0,1.316208,1.159049,0.417507,0.82613,0.395398,0,0,0,0,1.02312,2.550493,0,0.759721,0,1.467407,0,0,0,1.057982,1.72741,niedrig
2.494101,0.877853,1.194341,2.180419,0.44308,1.777159,1.637893,1.520943,0.782453,0.692382,1.257409,0,1.05528,0.942802,1.185156,0.370984,0.61342,0.642723,1.308942,1.363616,0,1.589095,0.355308,3.07645,1.121195,0.660967,1.614521,1.293687,1.024442,2.31086,0.548411,0.895629,0,1.136631,0.729032,2.340254,0,1.967356,1.420868,0,1.162226,0,1.203325,1.12506,0.715277,1.024549,1.029341,0.989522,0.550425,1.177408,0.766423,1.394605,0.249889,1.263861,0.323748,3.566244,0.657208,1.180292,2.967164,0.602424,0.955769,0,0.685517,1.506061,0.552222,1.123164,1.978109,0,0.881206,1.045961,0,3.036657,0,1.001451,2.967049,0,0,2.002901,0,0.429846,0,0,0,1.04596,0.283422,niedrig
2.324949,1.151311,1.325405,1.290503,0.382435,0,1.710711,0,0.956248,0.497176,1.042014,0,1.090931,0.986996,0.809504,0.709506,0.16294,1.707234,0.885024,0.482947,0,1.26631,3.020121,1.961237,1.082973,0.234092,1.072143,1.374542,1.360587,1.227644,1.165373,1.268808,0.582686,0.939299,1.287641,0,0.819798,0,2.195887,0,1.588375,0,0,1.12506,0.476852,0.887942,1.401784,0.386487,0.589673,1.003356,0,1.634114,0.334634,0.564158,1.734161,0.682238,0.880087,1.221345,1.766169,0.717172,0,0,0.272031,0.597643,1.314815,0.66855,3.532338,0,0.629433,1.285359,0,7.708437,0,1.694763,2.054111,0,0,0,0,0.727432,0,1.206876,0,0.590028,0.584117,niedrig
