@relation '20180909_h1_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R17-89-weka.filters.unsupervised.attribute.Remove-R2,4-14-weka.filters.unsupervised.attribute.Remove-R1,3-233-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R2-86,1'

@attribute r.oa_total_d_tourismus_stock numeric
@attribute r.oa_total_d_vergnuegung_stock numeric
@attribute r.oa_total_d_sport_und_erholung_stock numeric
@attribute r.oa_total_d_public_service_stock numeric
@attribute r.oa_total_d_buero_stock numeric
@attribute r.oa_total_d_mobilitaet_stock numeric
@attribute r.oa_total_d_sonstiges_stock numeric
@attribute r.oa_total_d_gastronomie_stock numeric
@attribute r.oa_total_d_religion_stock numeric
@attribute r.oa_total_d_oeffentlicher_raum_stock numeric
@attribute r.oa_total_d_dienstleistung_stock numeric
@attribute r.oa_total_d_waren_stock numeric
@attribute r.oa_total_d_leerstand_stock numeric
@attribute r.oa_gastro_c_fast_food_stock numeric
@attribute r.oa_gastro_c_restaurant_stock numeric
@attribute r.oa_gastro_c_cafe_stock numeric
@attribute r.oa_gastro_t_restaurant_italiener_stock numeric
@attribute r.oa_gastro_t_restaurant_deutsch_stock numeric
@attribute r.oa_gastro_t_restaurant_indisch_stock numeric
@attribute r.oa_gastro_t_restaurant_asiatisch_stock numeric
@attribute r.oa_gastro_t_restaurant_sushi_stock numeric
@attribute r.oa_gastro_t_restaurant_griechisch_stock numeric
@attribute r.oa_gastro_t_restaurant_steakhouse_stock numeric
@attribute r.oa_gastro_t_restaurant_international_stock numeric
@attribute r.oa_gastro_t_restaurant_tuerkisch_stock numeric
@attribute r.oa_gastro_t_restaurant_sonstiges_stock numeric
@attribute r.oa_gastro_t_eisdiele_stock numeric
@attribute r.oa_gastro_t_sonstige_cafes_stock numeric
@attribute r.oa_gastro_t_kaffee_stock numeric
@attribute r.oa_gastro_t_fastfood_kebap_stock numeric
@attribute r.oa_gastro_t_fastfood_burger_stock numeric
@attribute r.oa_gastro_t_fastfood_asiatisch_stock numeric
@attribute r.oa_gastro_t_fastfood_pizza_stock numeric
@attribute r.oa_gastro_t_fastfood_pommesbude_stock numeric
@attribute r.oa_gastro_t_fast_food_sonstiges_stock numeric
@attribute r.oa_dl_c_friseur_stock numeric
@attribute r.oa_dl_c_kosmetik_und_beauty_stock numeric
@attribute r.oa_dl_c_massage_stock numeric
@attribute r.oa_dl_c_reisen_stock numeric
@attribute r.oa_dl_c_waescherei_stock numeric
@attribute r.oa_dl_c_beerdigung_stock numeric
@attribute r.oa_pubserv_c_bildung_stock numeric
@attribute r.oa_pubserv_c_sicherheit_stock numeric
@attribute r.oa_pubserv_c_sonstiges_stock numeric
@attribute r.oa_pubserv_c_sozial_stock numeric
@attribute r.oa_pubserv_c_gesundheit_stock numeric
@attribute r.oa_pubserv_c_bank_stock numeric
@attribute r.oa_waren_c_essen_und_trinken_stock numeric
@attribute r.oa_waren_c_kleidung_stock numeric
@attribute r.oa_waren_c_sonstige_waren_stock numeric
@attribute r.oa_waren_c_werkstatt_stock numeric
@attribute r.oa_waren_c_medical_stock numeric
@attribute r.oa_waren_c_print_stock numeric
@attribute r.oa_waren_c_drogerie_stock numeric
@attribute r.oa_waren_c_technik_stock numeric
@attribute r.oa_waren_c_spielzeug_und_geschenke_stock numeric
@attribute r.oa_waren_c_kunst_stock numeric
@attribute r.oa_waren_c_handwerk_stock numeric
@attribute r.oa_waren_c_sonstiger_shop_stock numeric
@attribute r.oa_vergnuegung_t_kunstzentrum_stock numeric
@attribute r.oa_vergnuegung_t_gallerie_stock numeric
@attribute r.oa_vergnuegung_t_museum_stock numeric
@attribute r.oa_vergnuegung_t_zoo_stock numeric
@attribute r.oa_vergnuegung_t_spielothek_stock numeric
@attribute r.oa_vergnuegung_t_kino_stock numeric
@attribute r.oa_vergnuegung_t_biergarten_stock numeric
@attribute r.oa_vergnuegung_t_theater_stock numeric
@attribute r.oa_vergnuegung_t_nachtclub_stock numeric
@attribute r.oa_vergnuegung_t_bordell_stock numeric
@attribute r.oa_vergnuegung_t_bar_stock numeric
@attribute r.oa_vergnuegung_t_pub_stock numeric
@attribute r.oa_sport_t_schwimmen_stock numeric
@attribute r.oa_sport_t_basketball_stock numeric
@attribute r.oa_sport_t_fussball_stock numeric
@attribute r.oa_sport_t_sportzentrum_stock numeric
@attribute r.oa_sport_t_tischtennis_stock numeric
@attribute r.oa_sport_t_sauna_stock numeric
@attribute r.oa_sport_t_tennis_stock numeric
@attribute r.oa_sport_t_kampfsport_stock numeric
@attribute r.oa_sport_t_fitnesszentrum_stock numeric
@attribute r.oa_sport_t_spielplatz_stock numeric
@attribute r.oa_sport_t_wassersport_stock numeric
@attribute r.oa_sport_t_sonstige_sportarten_stock numeric
@attribute r.oa_sport_t_sonstiges_sport_stock numeric
@attribute r.oa_sport_t_sonstiges_erholung_stock numeric
@attribute r.status_klasse_prj_bi {hoch,niedrig}

@data
1.978328,0.999975,0.470499,0.80899,1.284213,0.900188,6.783974,1.219296,0.85364,0.83811,1.169963,1.071327,0.75893,0.798526,1.127496,0.793649,1.083684,1.275349,0.602944,0.829334,1.150388,1.507114,1.346279,2.019729,0.631556,1.159348,0.958783,0.47823,1.186989,0.475198,1.241134,0.765961,1.640997,0.871024,0.698045,0.67393,2.217157,1.611972,0.800868,1.001182,0,0.603245,1.272088,3.561778,0.851968,1.184888,1.595447,0.630932,1.808623,0.990067,0.311986,0.608422,0.560495,0.798643,1.215601,1.498874,1.738307,0.815121,1.370648,1.225857,3.004227,1.165428,0,0.84392,0.825415,0.778038,1.045839,1.804628,0.727437,1.794332,0.363223,0,0,0,0.652075,1.011346,4.27793,0,1.654301,2.821534,0.474214,0,0.812042,0,2.214333,hoch
1.73621,1.56168,0.652672,0.983731,1.435736,0.717955,1.497997,1.248368,0.402978,0.917032,1.315736,0.91706,0.386271,0.91411,1.068813,0.825932,0.935319,0.699215,0.449025,0.700365,0.846855,1.181534,0.767421,2.475509,0.871336,1.291282,1.307732,0.311966,1.07703,0.885269,1.460819,1.193646,1.607227,1.031564,0.607141,0.884202,1.880647,1.089576,0.844762,0.738727,0.178965,1.011415,0,0.646786,1.483121,1.106429,0.904084,0.957676,0.781814,0.831732,0.587769,0.794375,0.80579,0.407715,1.13221,0.447395,1.986478,1.365327,1.9366,1.93596,3.3258,1.589951,0,1.084397,0.942771,0.483886,1.167147,1.752251,0.977832,1.651881,0.257104,0,0,0,0.413019,1.260047,3.386232,0,2.025593,1.768719,0.577274,0,1.985304,0,1.19327,niedrig
2.035744,1.263024,0.832807,0.749979,1.243453,0.839523,0.709934,1.119153,0.590253,1.129159,1.108012,0.750928,0,0.764839,1.116107,0.953884,0.734478,1.084011,0.213364,0.609096,0.535554,0.707631,0.75785,2.154477,0.689303,1.578795,1.368799,0.345226,1.536496,0.685998,1.058075,1.157254,1.214822,0.490081,0.59153,0.883113,1.814328,0.973601,1.071758,0.784952,0.07146,1.076032,0,0.454234,1.421447,0.969069,0.980104,0.984216,0.58731,0.810285,0.775832,1.293234,0.863407,0.297799,1.601847,0.45176,1.485927,1.817117,1.83531,1.260892,4.830491,2.155551,0,0.97902,1.433394,1.574991,1.573411,1.37059,0.626812,1.529373,0.228009,0,0,0,0.782672,0.888538,6.932279,0,1.718609,0.751912,0.940488,0,1.846942,0,0.493055,niedrig
2.434346,1.245543,0.463011,0.612682,1.426272,1.124276,1.901549,1.246844,0.442573,1.155704,0.679115,0.489401,0,0.578858,1.150151,1.261437,0.616552,0.957006,0.166759,0.542989,0.32669,0.433182,0.964835,3.4896,0.240201,1.677782,1.387975,0.421982,2.881808,0.276198,1.227742,0.576385,1.047341,0.447244,0.527721,0.996359,1.257623,0.888102,0.699939,1.385125,0,0.986038,0.011181,1.318251,0.775467,0.72631,1.636134,0.831389,0.852582,0.953361,0.542235,1.461826,0.571518,0.205691,2.240712,1.58913,3.153819,0.624399,1.502657,0.983001,3.99532,3.876407,0,1.141771,3.697036,0.261338,1.942331,2.13046,0.420542,1.149082,0.122973,0,0,0,0.332917,1.448676,4.294545,0,0.96309,0.826417,0.596251,0,1.381821,0,1.623776,hoch
2.807421,0.830956,0.438361,0.713101,1.905249,1.180071,19.251058,1.334331,0.962975,0.779209,0.517171,0.713984,0,0.57882,1.203804,0.942091,1.138205,1.69818,1.018033,1.09848,1.555355,0,1.832752,0.655865,0.121138,1.304241,1.147503,0.615557,1.286141,0.142839,0.646127,0.085239,0.42118,0.53764,0.933464,0.684456,0.551978,2.937411,1.331244,0.904401,0,0.820062,0.415002,11.466457,0.264968,0.713002,2.047324,0.739288,1.85868,0.752553,0.472432,1.000024,0.789343,1.933967,1.255439,3.032943,0.1038,0.227625,0.675821,0,2.100554,10.585067,0,0.430226,0.513682,0.001494,2.822018,1.903804,0.255449,0.586201,0.274884,0,0,0,3.512818,0.035527,2.425149,0,0.001465,5.135021,0.661759,0,0.108024,0,2.973143,hoch
2.392171,1.242382,0.31154,0.646506,1.912016,0.905982,9.74441,1.407142,1.48891,0.811714,0.466411,0.989116,0.497407,0.50294,1.209632,1.115572,1.140061,2.318299,0.473305,1.083116,2.090553,0,1.97872,1.17976,0.325473,1.131646,1.069124,0.875211,1.731057,0.326398,0.323893,0.294034,0.487682,1.023272,0.618758,0.919382,1.461803,1.437324,1.093776,0.312618,0.339916,0.783714,1.084146,6.363148,0.23839,0.815883,1.942325,0.498533,2.442485,0.516852,0.44287,0.67834,1.443835,1.917653,0.709922,2.067534,1.33437,0,0.905385,1.087776,3.408048,5.608552,0,0.072781,0.585094,0.115869,3.318971,1.372036,0.248224,0.971762,0.430836,0,0,0,1.546565,0.598933,0,0,1.320889,8.201511,0.232713,0,0.429562,0,3.227155,hoch
2.342958,1.001598,0.401357,0.745969,2.22563,0.915647,14.72506,1.37561,0.87215,0.845287,0.547087,0.87049,0.554055,0.495842,1.257353,0.850915,1.152574,1.990459,0.468659,1.198933,2.028886,0,1.866473,0.82296,0.266546,1.332197,0.731403,0.614089,1.592502,0.241229,0.341742,0.211548,0.353142,0.805278,0.712095,0.755297,0.997421,1.995749,1.76682,0.558598,0.322793,0.867016,0.973866,8.384211,0.268978,0.761266,1.870256,0.57959,2.31927,0.580863,0.503987,0.820111,0.99084,1.658926,0.990638,2.13189,0.845792,0.085306,0.860583,0.449481,2.660033,6.682181,0,0.116077,0.540004,0.160092,3.085072,2.030508,0.427634,0.912266,0.349771,0,0,0,1.947272,0.595012,0.177458,0,0.420595,9.681014,0.50181,0,0.16658,0,2.572859,hoch
2.254159,0.862969,0.527389,0.843322,2.519163,0.932693,14.331634,1.373478,0.605062,0.857107,0.638441,0.782079,0.627966,0.547163,1.23761,0.827664,0.968105,1.765313,0.476365,1.392033,2.142668,0,1.357753,0.834263,0.502605,1.374812,0.512753,0.588537,1.932433,0.272832,0.305339,0.175847,0.338816,0.8455,0.823757,0.80728,0.49356,2.135223,1.431,1.116684,0.313504,0.812808,1.030091,7.260693,0.520901,0.877194,1.73202,0.751928,1.798044,0.783398,0.677575,0.973156,0.936905,1.819595,0.966005,1.674072,0.624974,0.3371,0.828987,0.461217,2.859994,6.504489,0,0.437544,0.647198,0.210597,2.304619,2.672524,0.36562,0.832205,0.363905,0,0,0,2.27323,0.734662,0.248863,0,0.282983,4.685001,0.936887,0,0.042763,0,1.883681,hoch
1.975842,1.090211,0.49398,0.526741,2.438612,1.169714,3.058136,1.270811,0.675376,1.022973,0.622241,0.653291,0,0.413,1.201337,1.411719,1.310747,2.629844,0.725534,0.851623,2.21817,0,0.611428,1.616026,1.426726,1.003687,0.927396,1.938365,1.137268,0.318534,0.34036,0.060814,0.504871,0.510282,0.524232,1.137302,1.349093,0.737453,0.022955,1.268185,0,0.694711,1.382832,1.979994,1.011699,0.672624,2.041288,0.9397,0.745018,1.13174,0.317048,1.625054,2.214607,1.421988,0.832743,2.060269,2.435749,0,0.870676,5.633879,0.931263,2.578638,0,0.520105,0.44907,0,2.052338,1.089379,0.153156,1.128355,0.633531,0,0,0,1.967806,0.743181,0,0,2.895092,12.058932,0.427586,0,0.520993,0,1.082585,hoch
1.452857,1.738272,0.529706,0.605411,1.558748,0.576306,1.610037,1.551435,0.782174,0.707937,0.649189,1.459347,1.123858,0.550414,1.165157,1.250128,1.060256,1.927948,0.878874,1.145784,2.690877,0.057977,1.308577,1.147759,0.682491,1.060239,1.143217,1.103087,1.770506,0.450454,0.62233,0.692324,0.468047,0.865574,0.539166,0.951342,2.320767,0.991375,0.253237,0.366991,0.463328,0.831331,2.828228,1.316106,0.646778,0.768531,1.682322,0.480463,2.669783,0.628614,0.256922,0.791788,1.063381,0.736143,0.311605,1.508808,2.301418,0.053769,1.030219,1.578651,3.229794,2.551178,0,0.059051,1.126002,0.341487,1.704073,1.549304,0.194497,1.399652,0.587399,0,0,0,0.206855,1.154498,0.087179,0,2.453557,1.835926,0.583699,0,0.860805,0,2.199798,hoch
