@relation '20180909_h2_bzr-weka.filters.unsupervised.attribute.Remove-R1-3,5-318-weka.filters.unsupervised.attribute.Reorder-R2-86,1'

@attribute r.prev_oa_total_d_tourismus_stock numeric
@attribute r.prev_oa_total_d_vergnuegung_stock numeric
@attribute r.prev_oa_total_d_sport_und_erholung_stock numeric
@attribute r.prev_oa_total_d_public_service_stock numeric
@attribute r.prev_oa_total_d_buero_stock numeric
@attribute r.prev_oa_total_d_mobilitaet_stock numeric
@attribute r.prev_oa_total_d_sonstiges_stock numeric
@attribute r.prev_oa_total_d_gastronomie_stock numeric
@attribute r.prev_oa_total_d_religion_stock numeric
@attribute r.prev_oa_total_d_oeffentlicher_raum_stock numeric
@attribute r.prev_oa_total_d_dienstleistung_stock numeric
@attribute r.prev_oa_total_d_waren_stock numeric
@attribute r.prev_oa_total_d_leerstand_stock numeric
@attribute r.prev_oa_gastro_c_fast_food_stock numeric
@attribute r.prev_oa_gastro_c_restaurant_stock numeric
@attribute r.prev_oa_gastro_c_cafe_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_italiener_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_deutsch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_indisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_asiatisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_sushi_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_griechisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_steakhouse_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_international_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_tuerkisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_sonstiges_stock numeric
@attribute r.prev_oa_gastro_t_eisdiele_stock numeric
@attribute r.prev_oa_gastro_t_sonstige_cafes_stock numeric
@attribute r.prev_oa_gastro_t_kaffee_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_kebap_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_burger_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_asiatisch_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_pizza_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_pommesbude_stock numeric
@attribute r.prev_oa_gastro_t_fast_food_sonstiges_stock numeric
@attribute r.prev_oa_dl_c_friseur_stock numeric
@attribute r.prev_oa_dl_c_kosmetik_und_beauty_stock numeric
@attribute r.prev_oa_dl_c_massage_stock numeric
@attribute r.prev_oa_dl_c_reisen_stock numeric
@attribute r.prev_oa_dl_c_waescherei_stock numeric
@attribute r.prev_oa_dl_c_beerdigung_stock numeric
@attribute r.prev_oa_pubserv_c_bildung_stock numeric
@attribute r.prev_oa_pubserv_c_sicherheit_stock numeric
@attribute r.prev_oa_pubserv_c_sonstiges_stock numeric
@attribute r.prev_oa_pubserv_c_sozial_stock numeric
@attribute r.prev_oa_pubserv_c_gesundheit_stock numeric
@attribute r.prev_oa_pubserv_c_bank_stock numeric
@attribute r.prev_oa_waren_c_essen_und_trinken_stock numeric
@attribute r.prev_oa_waren_c_kleidung_stock numeric
@attribute r.prev_oa_waren_c_sonstige_waren_stock numeric
@attribute r.prev_oa_waren_c_werkstatt_stock numeric
@attribute r.prev_oa_waren_c_medical_stock numeric
@attribute r.prev_oa_waren_c_print_stock numeric
@attribute r.prev_oa_waren_c_drogerie_stock numeric
@attribute r.prev_oa_waren_c_technik_stock numeric
@attribute r.prev_oa_waren_c_spielzeug_und_geschenke_stock numeric
@attribute r.prev_oa_waren_c_kunst_stock numeric
@attribute r.prev_oa_waren_c_handwerk_stock numeric
@attribute r.prev_oa_waren_c_sonstiger_shop_stock numeric
@attribute r.prev_oa_vergnuegung_t_kunstzentrum_stock numeric
@attribute r.prev_oa_vergnuegung_t_gallerie_stock numeric
@attribute r.prev_oa_vergnuegung_t_museum_stock numeric
@attribute r.prev_oa_vergnuegung_t_zoo_stock numeric
@attribute r.prev_oa_vergnuegung_t_spielothek_stock numeric
@attribute r.prev_oa_vergnuegung_t_kino_stock numeric
@attribute r.prev_oa_vergnuegung_t_biergarten_stock numeric
@attribute r.prev_oa_vergnuegung_t_theater_stock numeric
@attribute r.prev_oa_vergnuegung_t_nachtclub_stock numeric
@attribute r.prev_oa_vergnuegung_t_bordell_stock numeric
@attribute r.prev_oa_vergnuegung_t_bar_stock numeric
@attribute r.prev_oa_vergnuegung_t_pub_stock numeric
@attribute r.prev_oa_sport_t_schwimmen_stock numeric
@attribute r.prev_oa_sport_t_basketball_stock numeric
@attribute r.prev_oa_sport_t_fussball_stock numeric
@attribute r.prev_oa_sport_t_sportzentrum_stock numeric
@attribute r.prev_oa_sport_t_tischtennis_stock numeric
@attribute r.prev_oa_sport_t_sauna_stock numeric
@attribute r.prev_oa_sport_t_tennis_stock numeric
@attribute r.prev_oa_sport_t_kampfsport_stock numeric
@attribute r.prev_oa_sport_t_fitnesszentrum_stock numeric
@attribute r.prev_oa_sport_t_spielplatz_stock numeric
@attribute r.prev_oa_sport_t_wassersport_stock numeric
@attribute r.prev_oa_sport_t_sonstige_sportarten_stock numeric
@attribute r.prev_oa_sport_t_sonstiges_sport_stock numeric
@attribute r.prev_oa_sport_t_sonstiges_erholung_stock numeric
@attribute r.dynamik_klasse_prj_bi {positiv,negativ}

@data
2.644449,1.113309,0.487262,0.550112,0.652025,1.410283,5.144255,1.109867,1.001231,1.249115,0.710881,0.336326,0,0.551579,1.132236,1.661316,0.684629,0.896104,0,0.192022,0,0.730519,0.652503,2.507753,0,1.869851,1.469023,1.207326,2.829802,0.394181,0.60007,0.734511,0.85615,0.746753,0.479371,0.908472,0,1.353917,1.577873,1.74881,0,0.945375,0,4.397635,1.12061,0.691217,1.744481,1.021163,0,1.008108,0.859627,1.77427,0,0,4.306481,2.918208,3.36036,0,1.449567,1.135593,7.052632,3.722222,0,2.350877,3,0,1.732759,2.144,0.368132,1.232184,0.215897,0,0,0,0,2.33715,6.378472,0,0,0,0.35395,0,0,0,4.007417,positiv
1.565543,0.853287,0.132785,0.744878,2.345447,1.591588,24.532833,1.472986,0.409273,0.706612,0.581173,0.802585,0,0.496591,1.22384,1.209438,1.194907,1.518,0.571034,1.774286,1.881818,0,2.41165,0.926866,0,1.118919,1.131148,0.743713,2.178947,0.242815,0.739286,0.22623,0.263694,0.46,0.708702,0.794913,0,3.384793,0.788937,0.874405,0,0.815418,0.998389,15.488526,0,0.695564,2.106543,0.524764,2.227043,0.863426,0.441753,0.911778,1.058975,2.497044,1.844211,1.999513,0,0,1.158759,0,3.761404,8.734815,0,0,0,0,4.312644,1.7152,0.392674,0.657165,0.23029,0,0,0,0,0,19.135417,0,0,0,0,0,0,0,7.213351,negativ
1.529901,1.453535,0.534315,0.616429,2.187866,0.887538,2.538457,1.560027,0.329375,0.798472,0.684871,1.076509,0.721718,0.615674,1.179961,1.095762,0.934689,1.887538,0.976313,0.98871,2.43092,0,1.374421,1.525995,0.967968,1.137824,0.859535,1.412828,0.993441,0.461275,0.842651,0.601674,0.500939,0.349544,0.718036,1.008183,2.559233,1.155783,0.538786,0,0,0.574907,1.941821,2.151748,0.986959,0.879346,2.18824,0.623157,2.672452,0.595764,0.265052,1.002956,1.111924,1.070162,0.663916,2.099488,2.072222,0,0.968391,1.716802,0,1.688189,0,0,1.259843,0.572267,1.891936,3.106268,0.185515,1.397122,0.562125,0,0,0,1.312143,1.752863,0,0,1.435156,0,1.008757,0,0,0,1.44267,negativ
1.605558,1.689844,0.887513,0.87674,2.533584,0.763173,0,1.365198,1.82367,0.618215,1.109844,1.158962,0,0.502622,1.138809,1.78911,1.013778,1.990385,1.372679,1.137363,3.015734,0,1.288275,1.485362,0,0.89657,1.450189,1.589129,2.793522,0.389127,0.592376,0.725095,0.422587,0,0.56787,1.148208,0.728671,2.106093,0,0,0,1.080428,1.259872,1.11686,0.853798,0.96551,0.724979,1.012045,0.943218,1.243333,0.757291,1.563048,0.544616,0.366913,0,1.028321,3.552381,0,1.191866,0.908475,0,0.595556,0,0,0.8,0.908475,0.924138,0.8576,0,1.478621,1.15145,3.092593,0,0,0,1.5581,0,0,3.189236,0,0.943866,0,0.809965,0,0.534322,negativ
0.580256,1.402105,1.076596,1.312698,0.829807,0.48772,0,1.666242,1.061856,0.690628,1.292443,1.127914,0,1.318807,0.860201,0.85352,0.564244,0.791284,0.982284,1.356488,0.863219,2.06422,1.382827,0.708613,1.460833,0.717062,0.778313,1.137175,0.499759,1.949205,0.847805,1.816063,1.512008,2.110092,0.812731,1.059885,0,1.57957,1.380639,0.510069,0,1.200476,0,1.303003,0.996097,0.81922,0.704841,1.130261,0.544164,0.717308,1.495163,0.841641,0,0.987842,1.361879,0.922852,2.125356,0.845021,1.298829,0,0,0,0,11.878116,0,0,1.459165,0.451368,0.930017,0.778221,0.787834,0,0,0,0,2.524122,6.123333,0,1.530833,0,0,0,4.082222,0,1.92356,positiv
1.167873,1.278616,0.904423,1.014699,0.871377,1.485245,4.774212,0.850778,3.345153,0.975758,0.678595,0.738996,0,0.739708,1.179395,0.658257,1.160425,1.95283,1.346779,0.836927,0.88765,0,0,0,4.506531,1.241863,0.53356,0.58468,1.027805,0.859016,1.743598,0,1.243841,0,0.696444,1.059885,0,0,1.840852,2.040278,0,1.263897,1.996779,3.097705,1.353189,0.626008,0.670264,1.390985,0.193812,0.766438,1.307104,1.348932,1.175027,0.527751,1.091369,0.739546,0,0,0.734712,1.101181,0,0.721886,0,1.139819,0.969697,2.202363,1.120167,1.039515,1.784882,0.896134,0.837418,0,0,0,2.624286,2.80458,0,0,0.956771,0,0.530925,0,0.728968,0,1.44267,positiv
0.662513,1.628953,0.655581,0.99919,1.052711,0.37124,0,0.628331,0,1.07049,1.639621,1.379532,3.542064,2.541035,0.30462,0.430712,0,0,0,0.547619,0,0,0,0,2.948718,0.457075,0,1.147705,0,4.496579,1.71131,0,3.66242,2.12963,2.187351,1.112879,2.623214,0.473871,0,0.612083,0,1.080428,0,1.954505,2.988292,0.614415,0.845809,1.080233,0.677311,1.091223,1.015092,1.047574,0.608348,1.229547,1.695104,0.574328,0,1.051782,1.046053,0,0,0.821456,0,5.188143,0,0,0.637337,0.591448,2.031072,0.849782,0.952924,0,0,0,0,3.505725,0,0,1.913542,0,0.84948,0,0,0,0,positiv
0.635871,1.186062,0.75506,0.959008,0.606226,1.045178,0,0.804084,3.878763,1.082483,0.786842,1.098683,0,1.905777,0.548315,0.969101,0.732173,0,0,1.642857,0,0,0,1.072761,2.211538,0.342806,1.571038,0.860778,0,1.686217,0,0.785519,1.83121,3.194444,2.46077,0.476948,2.623214,0.947742,3.313534,1.224167,0,0.600238,1.469851,0,1.992195,1.536038,1.127745,1.392643,0.181388,1.075962,1.223315,0.420821,0.366568,0.493921,3.064227,0,0,2.535063,0.45841,1.651772,0,3.248485,0,0,0,0,0.840125,2.338909,0.535465,0.896134,0.942095,0,0,0,4.37381,2.921438,6.378472,0,0,0,0.530925,0,1.214947,0,0,positiv
0.98517,0.986663,0.877375,1.207225,0.176108,1.117883,0,0.700756,0.676065,1.399078,0.617156,0.576954,0,1.361269,0.913859,0.323034,0.976231,0.958333,0.991379,0.410714,0,0,0,1.072761,0,1.256955,0,0.860778,0,0.843109,2.566964,1.571038,0.915605,1.597222,1.435449,0.70659,0,3.15914,0,2.72037,0,1.163538,0,0.902079,0,0.921623,0.87834,1.306328,0.301027,1.587234,1.015092,0,0,0,0,0,0,4.207126,1.141149,0,0,1.134392,0,0,1.52381,0,0,0,2.243851,1.40821,0.986957,0,0,6.753676,0,0.876431,0,0,0,0,1.327312,0,0,0,1.803338,positiv
0.381932,1.987069,1.298723,0.903308,2.284064,0.420249,0,0.856172,0.762466,0.978286,1.701404,1.121399,0,1.717293,0.653761,0.894555,0.56321,0,1.372679,0.568681,0,0.721154,0,0,3.06213,0.84383,0.362547,1.986412,0,2.918453,0.592376,1.812736,2.535522,1.474359,1.13574,1.04784,1.19237,0.646188,1.255126,0.834659,0,1.033453,0,0.679828,2.078812,1.015121,0.809035,1.107836,0.69868,0.805864,0.785338,0.810469,0.529488,0.713441,3.442527,0.333252,0,0,1.269117,0.96904,3.009123,0,0,4.012164,0,0,0.246437,0.457387,1.256557,1.380046,0.951865,0,1.682234,0,1.24966,2.837968,0,0,1.366815,0,0.404514,0,1.735639,0,1.373972,positiv
