@relation '20180909_h2_plr_distcalc-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-235-weka.filters.unsupervised.attribute.Reorder-R2-86,1'

@attribute r.prev_oa_total_d_tourismus_stock numeric
@attribute r.prev_oa_total_d_vergnuegung_stock numeric
@attribute r.prev_oa_total_d_sport_und_erholung_stock numeric
@attribute r.prev_oa_total_d_public_service_stock numeric
@attribute r.prev_oa_total_d_buero_stock numeric
@attribute r.prev_oa_total_d_mobilitaet_stock numeric
@attribute r.prev_oa_total_d_sonstiges_stock numeric
@attribute r.prev_oa_total_d_gastronomie_stock numeric
@attribute r.prev_oa_total_d_religion_stock numeric
@attribute r.prev_oa_total_d_oeffentlicher_raum_stock numeric
@attribute r.prev_oa_total_d_dienstleistung_stock numeric
@attribute r.prev_oa_total_d_waren_stock numeric
@attribute r.prev_oa_total_d_leerstand_stock numeric
@attribute r.prev_oa_gastro_c_fast_food_stock numeric
@attribute r.prev_oa_gastro_c_restaurant_stock numeric
@attribute r.prev_oa_gastro_c_cafe_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_italiener_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_deutsch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_indisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_asiatisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_sushi_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_griechisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_steakhouse_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_international_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_tuerkisch_stock numeric
@attribute r.prev_oa_gastro_t_restaurant_sonstiges_stock numeric
@attribute r.prev_oa_gastro_t_eisdiele_stock numeric
@attribute r.prev_oa_gastro_t_sonstige_cafes_stock numeric
@attribute r.prev_oa_gastro_t_kaffee_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_kebap_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_burger_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_asiatisch_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_pizza_stock numeric
@attribute r.prev_oa_gastro_t_fastfood_pommesbude_stock numeric
@attribute r.prev_oa_gastro_t_fast_food_sonstiges_stock numeric
@attribute r.prev_oa_dl_c_friseur_stock numeric
@attribute r.prev_oa_dl_c_kosmetik_und_beauty_stock numeric
@attribute r.prev_oa_dl_c_massage_stock numeric
@attribute r.prev_oa_dl_c_reisen_stock numeric
@attribute r.prev_oa_dl_c_waescherei_stock numeric
@attribute r.prev_oa_dl_c_beerdigung_stock numeric
@attribute r.prev_oa_pubserv_c_bildung_stock numeric
@attribute r.prev_oa_pubserv_c_sicherheit_stock numeric
@attribute r.prev_oa_pubserv_c_sonstiges_stock numeric
@attribute r.prev_oa_pubserv_c_sozial_stock numeric
@attribute r.prev_oa_pubserv_c_gesundheit_stock numeric
@attribute r.prev_oa_pubserv_c_bank_stock numeric
@attribute r.prev_oa_waren_c_essen_und_trinken_stock numeric
@attribute r.prev_oa_waren_c_kleidung_stock numeric
@attribute r.prev_oa_waren_c_sonstige_waren_stock numeric
@attribute r.prev_oa_waren_c_werkstatt_stock numeric
@attribute r.prev_oa_waren_c_medical_stock numeric
@attribute r.prev_oa_waren_c_print_stock numeric
@attribute r.prev_oa_waren_c_drogerie_stock numeric
@attribute r.prev_oa_waren_c_technik_stock numeric
@attribute r.prev_oa_waren_c_spielzeug_und_geschenke_stock numeric
@attribute r.prev_oa_waren_c_kunst_stock numeric
@attribute r.prev_oa_waren_c_handwerk_stock numeric
@attribute r.prev_oa_waren_c_sonstiger_shop_stock numeric
@attribute r.prev_oa_vergnuegung_t_kunstzentrum_stock numeric
@attribute r.prev_oa_vergnuegung_t_gallerie_stock numeric
@attribute r.prev_oa_vergnuegung_t_museum_stock numeric
@attribute r.prev_oa_vergnuegung_t_zoo_stock numeric
@attribute r.prev_oa_vergnuegung_t_spielothek_stock numeric
@attribute r.prev_oa_vergnuegung_t_kino_stock numeric
@attribute r.prev_oa_vergnuegung_t_biergarten_stock numeric
@attribute r.prev_oa_vergnuegung_t_theater_stock numeric
@attribute r.prev_oa_vergnuegung_t_nachtclub_stock numeric
@attribute r.prev_oa_vergnuegung_t_bordell_stock numeric
@attribute r.prev_oa_vergnuegung_t_bar_stock numeric
@attribute r.prev_oa_vergnuegung_t_pub_stock numeric
@attribute r.prev_oa_sport_t_schwimmen_stock numeric
@attribute r.prev_oa_sport_t_basketball_stock numeric
@attribute r.prev_oa_sport_t_fussball_stock numeric
@attribute r.prev_oa_sport_t_sportzentrum_stock numeric
@attribute r.prev_oa_sport_t_tischtennis_stock numeric
@attribute r.prev_oa_sport_t_sauna_stock numeric
@attribute r.prev_oa_sport_t_tennis_stock numeric
@attribute r.prev_oa_sport_t_kampfsport_stock numeric
@attribute r.prev_oa_sport_t_fitnesszentrum_stock numeric
@attribute r.prev_oa_sport_t_spielplatz_stock numeric
@attribute r.prev_oa_sport_t_wassersport_stock numeric
@attribute r.prev_oa_sport_t_sonstige_sportarten_stock numeric
@attribute r.prev_oa_sport_t_sonstiges_sport_stock numeric
@attribute r.prev_oa_sport_t_sonstiges_erholung_stock numeric
@attribute r.dynamik_klasse_prj_bi {negativ,positiv}

@data
1.622791,0.901198,0.386991,0.744941,0.963947,1.217481,5.763505,1.278366,0.808989,0.823594,1.148272,1.042092,0.955263,0.779823,1.128127,0.854996,1.164697,1.317914,0.721764,0.834917,0.987814,1.36876,1.404241,1.833359,0.860557,1.111354,1.185892,0.318815,1.254188,0.39179,1.370908,0.743933,1.50268,0.761058,0.718864,0.752365,2.690283,1.818427,0.708331,0.805622,0,0.594414,1.043854,3.990403,1.3643,1.151553,1.743127,0.585589,2.107733,0.820394,0.348497,0.389619,0.587241,0.717387,1.508426,1.366781,2.066453,0.922534,1.590292,1.36038,1.837211,0.946039,0,1.20433,0.827962,0.801487,0.921087,1.888259,0.637592,2.102472,0.407071,0,0,0,0.981479,0.844588,2.619878,0,1.762464,9.086982,0.377132,0,0.898854,0,3.527807,negativ
1.427607,1.301613,0.498166,0.891622,0.977636,0.998921,1.23675,1.159209,0.225892,0.984316,1.419263,0.849093,0.458468,0.909297,1.054768,0.92679,0.982172,0.715597,0.53337,0.771216,0.714698,0.728735,0.456988,2.047155,0.608156,1.330713,1.224167,0.484721,1.211621,0.735254,0.785397,1.229242,1.68938,1.069585,0.726458,0.782869,2.843167,1.48076,1.045855,0.498455,0,0.94314,0,0.896048,2.307669,1.026383,1.039117,0.932365,0.738258,0.805262,0.628093,0.740257,1.034202,0.21377,1.322622,0.439265,1.763705,1.248486,2.153269,2.190558,2.193797,1.60861,0,2.122844,0.964234,0.331612,0.956672,1.730154,0.842841,1.991903,0.272603,0,0,0,0.315852,0.676829,2.558981,0,2.192893,0,0.728936,0,1.603263,0,2.323362,positiv
1.664848,1.071975,0.634832,0.692358,0.770024,1.334105,0.615432,0.985583,0.18756,1.191183,1.171252,0.696169,0,0.930895,1.006399,1.183935,0.790297,0.802643,0.225058,0.719792,0.44992,0.550666,0.500669,1.695641,0.577073,1.411169,0.89211,1.136495,1.798343,1.043967,0.724023,1.179468,1.31774,0.753823,0.770809,0.788108,2.157954,1.309741,1.497194,0.760221,0,0.932819,0,0.642945,2.283181,0.928353,1.197643,1.044631,0.463158,0.699969,0.836989,1.23411,0.881833,0.182922,1.690641,0.455742,1.588563,1.556062,1.937388,1.38242,5.297943,2.091774,0,1.639077,1.420514,0.870243,2.127108,1.705904,0.527274,1.702716,0.239964,0,0,0,0.535687,0.847777,7.392022,0,1.838201,0,0.995002,0,0.880396,0,0.836631,positiv
2.190918,1.116719,0.356014,0.568649,0.571461,1.877824,1.838862,1.092574,0.331417,1.222592,0.823727,0.408342,0,0.582273,1.108846,1.635762,0.657908,0.692751,0.181178,0.498809,0.254177,0.235957,0.448568,2.386487,0.155844,1.8246,1.394246,0.88052,3.474162,0.35577,1.066809,0.610293,1.148437,0.456966,0.490743,0.871121,1.603864,1.203154,0.974535,1.376815,0,0.862963,0.008338,1.721453,1.405215,0.72292,1.780944,0.911353,0.526027,0.673925,0.671706,1.017917,0.779521,0.126795,3.281422,1.870827,4.337701,0.746057,1.809879,1.045641,5.575428,3.902025,0,2.221757,3.554675,0.048634,1.987924,1.671219,0.359035,1.303187,0.186304,0,0,0,0.055611,1.107535,6.477618,0,1.046647,0,0.672322,0,0.624649,0,2.648419,positiv
1.677088,0.736818,0.328256,0.615117,1.767024,2.290801,20.355613,1.21987,0.413603,0.744503,0.588871,0.686925,0,0.506254,1.228864,1.071493,1.179283,1.327964,1.202992,1.723855,0.987573,0,2.904116,0.631692,0.162624,1.196743,1.106562,0.771465,1.565543,0.235626,1.053758,0.208601,0.473368,0.286223,0.665274,0.655434,0.408101,3.299881,0.764509,1.466531,0,0.868197,1.066961,16.521684,0.200291,0.618068,2.029047,0.664362,1.736673,1.027001,0.399775,0.717979,0.765613,2.117154,1.899504,1.976664,0.2174,0.281839,1.131902,0,2.699833,9.774806,0,0.540516,0.566681,0,3.512279,1.941079,0.28899,0.79781,0.14965,0,0,0,0,0.060427,15.952526,0,0.001855,0,0.7425,0,0,0,3.657701,negativ
1.500861,1.13567,0.219962,0.646769,1.997729,1.406339,10.352022,1.455252,0.667183,0.751952,0.439594,0.980017,0.509184,0.571641,1.171091,1.248382,1.122353,2.074349,0.491294,1.134164,1.801573,0,2.175642,1.435263,0.246713,1.049862,1.245367,1.06065,1.602529,0.389965,0.674935,0.558273,0.44655,0.611813,0.672011,0.936146,1.89656,1.693525,0.649138,0.335726,0,0.745522,2.357677,8.113167,0.385121,0.678768,2.099399,0.519058,2.498761,0.550087,0.307089,0.748466,1.41868,2.093314,1.003401,2.024451,1.172691,0,1.058185,1.023848,2.59483,4.824033,0,0,0.72691,0.126533,3.744149,1.464665,0.238537,1.130377,0.427313,0.053242,0,0,0,0.962017,3.001674,0,1.762737,0,0.449489,0,0,0,4.331326,negativ
1.5625,0.934214,0.266663,0.724413,2.163251,1.439458,16.183225,1.389513,0.408641,0.798858,0.545269,0.848312,0.260352,0.54719,1.220594,0.992935,1.14792,1.660599,0.538981,1.285843,1.815653,0,2.04296,0.816857,0.197983,1.289398,0.949223,0.678815,1.655238,0.300065,0.592501,0.366901,0.364729,0.39016,0.769753,0.844461,0.962197,2.206033,1.009139,0.734126,0,0.806003,1.547444,11.209138,0.322063,0.703654,2.001283,0.571333,2.206509,0.768726,0.412503,1.022152,0.962652,1.746549,1.504912,1.963156,0.687757,0.10605,1.077609,0.530383,1.744204,5.937788,0,0.11993,0.577987,0.175357,3.381649,2.049539,0.423191,1.071778,0.340963,0,0,0,0,0.88642,3.886265,0,0.610463,0,0.744348,0,0,0,3.80884,negativ
1.805186,0.786627,0.390766,0.813426,2.665879,1.440787,14.886821,1.307029,0.269539,0.808137,0.700438,0.775193,0.088722,0.596066,1.192566,1.022312,0.91017,1.408494,0.646066,1.598902,2.030602,0,1.704013,0.604661,0.459957,1.30027,0.872172,0.506193,2.251756,0.350011,0.512353,0.270606,0.404658,0.272855,0.898919,0.84132,0.461817,2.526276,0.643965,1.193979,0,0.784759,1.228714,9.208941,0.397961,0.938968,1.737774,0.697843,1.665359,1.114006,0.547434,1.275725,0.75825,1.670659,1.457563,1.597986,0.422765,0.41624,1.047062,0.562578,1.143447,6.410822,0,0.857764,0.605136,0.238454,2.469762,2.537257,0.412294,0.933882,0.375526,0,0,0,0,0.880361,2.285416,0,0.372067,0,1.214572,0,0,0,2.324414,negativ
2.34232,1.042119,0.468712,0.517438,2.827625,1.882474,3.842799,1.211321,0.869404,0.984514,0.32426,0.547047,0.133132,0.514506,1.18466,1.34429,1.289025,2.746296,0.849679,0.611331,1.695864,0,0.46067,2.609247,2.05076,0.872497,0.888083,2.083362,0.794228,0.58667,0.442728,0.333764,0.721757,0.091846,0.539588,1.241567,0.571508,1.400167,0,0.330457,0,0.876954,1.521225,3.747718,0.798171,0.687815,1.792093,1.113126,0.984571,0.918143,0.409533,1.20657,1.568944,1.60144,0.247206,0.506099,1.855774,0,0.891057,3.053866,0.39058,3.087631,0,0,0.536751,0,3.183646,1.207165,0.251435,1.009197,0.67997,2.181998,0,0,0.100403,1.066468,0,0,3.297568,0,1.207405,0,0,0,0.381074,negativ
1.102865,1.583035,0.421107,0.565266,1.690162,0.708963,1.227175,1.523701,0.726402,0.734281,0.647396,1.314823,1.349431,0.603781,1.161902,1.204994,1.054041,1.754335,0.892942,1.041542,2.549497,0.057736,1.261134,1.257235,0.413273,1.117492,1.154615,1.265232,1.183958,0.550684,0.383593,0.864502,0.381176,0.244465,0.686148,0.975326,3.294732,1.058106,0.237712,0.160714,0,0.691442,2.630288,1.597914,1.237908,0.745778,1.949692,0.541667,2.760446,0.610187,0.206346,0.958291,1.114971,0.722084,0.386628,1.830334,2.495483,0,1.029062,1.703122,0.310184,1.389611,0,0,1.370062,0.352221,1.922121,1.584989,0.154794,1.650156,0.65977,0.698997,0,0,0.254387,1.551895,0.117089,0,2.736363,0,0.738603,0,0.180828,0,1.790016,negativ
1.600402,1.355777,0.450769,0.663105,2.110443,1.106337,2.237744,1.574299,0.549627,0.725519,0.671084,0.995728,0.543662,0.723498,1.105386,1.19461,0.603273,2.406734,0.548978,0.85471,1.742455,0.027812,2.117097,0.905201,0.182688,1.209845,1.016673,1.166644,1.567452,0.310098,1.293845,0.596472,0.647699,0.467342,0.9161,0.907387,2.561619,1.654354,0.577493,0.10925,0,0.500057,3.828758,1.807186,0.45083,0.808599,2.359552,0.530033,2.468799,0.507467,0.237253,0.907611,1.198566,1.599398,1.148542,2.568396,1.334457,0,1.127628,0.713013,0.219239,2.36528,0,0,1.464528,0.803105,1.950636,3.919095,0.091282,1.186077,0.532289,0,0,0,0.166946,2.04164,0.117142,0,0.787894,0,0.780493,0,0.009024,0,2.182868,positiv
