@relation '20180909_h3a_bzr-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-6,236-464-weka.filters.unsupervised.attribute.Reorder-R2-230,1'

@attribute r.prev_d_tourismus_new numeric
@attribute r.prev_d_vergnuegung_new numeric
@attribute r.prev_d_sport_und_erholung_new numeric
@attribute r.prev_d_public_service_new numeric
@attribute r.prev_d_buero_new numeric
@attribute r.prev_d_mobilitaet_new numeric
@attribute r.prev_d_sonstiges_new numeric
@attribute r.prev_d_gastronomie_new numeric
@attribute r.prev_d_religion_new numeric
@attribute r.prev_d_oeffentlicher_raum_new numeric
@attribute r.prev_d_dienstleistung_new numeric
@attribute r.prev_d_waren_new numeric
@attribute r.prev_d_leerstand_new numeric
@attribute r.prev_c_uebernachtung_new numeric
@attribute r.prev_c_sehenswuerdigkeit_new numeric
@attribute r.prev_c_kultur_new numeric
@attribute r.prev_c_info_new numeric
@attribute r.prev_c_sport_new numeric
@attribute r.prev_c_erholung_new numeric
@attribute r.prev_c_zwielicht_new numeric
@attribute r.prev_c_bildung_new numeric
@attribute r.prev_c_buero_new numeric
@attribute r.prev_c_individual_new numeric
@attribute r.prev_c_hipster_new numeric
@attribute r.prev_c_sicherheit_new numeric
@attribute r.prev_c_sonstiges_new numeric
@attribute r.prev_c_ausgehen_new numeric
@attribute r.prev_c_gaststaetten_new numeric
@attribute r.prev_c_sozial_new numeric
@attribute r.prev_c_cafe_new numeric
@attribute r.prev_c_religioese_gebaeude_new numeric
@attribute r.prev_c_post_new numeric
@attribute r.prev_c_gesundheit_new numeric
@attribute r.prev_c_wc_new numeric
@attribute r.prev_c_bank_new numeric
@attribute r.prev_c_telefon_new numeric
@attribute r.prev_c_recycling_new numeric
@attribute r.prev_c_parkbank_new numeric
@attribute r.prev_c_briefe_und_pakete_new numeric
@attribute r.prev_c_friedhof_new numeric
@attribute r.prev_c_automaten_new numeric
@attribute r.prev_c_oepnv_new numeric
@attribute r.prev_c_restaurant_new numeric
@attribute r.prev_c_fast_food_new numeric
@attribute r.prev_c_friseur_new numeric
@attribute r.prev_c_essen_und_trinken_new numeric
@attribute r.prev_c_kleidung_new numeric
@attribute r.prev_c_sonstige_waren_new numeric
@attribute r.prev_c_werkstatt_new numeric
@attribute r.prev_c_kosmetik_und_beauty_new numeric
@attribute r.prev_c_medical_new numeric
@attribute r.prev_c_print_new numeric
@attribute r.prev_c_massage_new numeric
@attribute r.prev_c_drogerie_new numeric
@attribute r.prev_c_reisen_new numeric
@attribute r.prev_c_technik_new numeric
@attribute r.prev_c_spielzeug_und_geschenke_new numeric
@attribute r.prev_c_waescherei_new numeric
@attribute r.prev_c_kunst_new numeric
@attribute r.prev_c_beerdigung_new numeric
@attribute r.prev_c_handwerk_new numeric
@attribute r.prev_c_leerstand_new numeric
@attribute r.prev_c_sonstiger_shop_new numeric
@attribute r.prev_c_sonstiges_gebaeude_new numeric
@attribute r.prev_c_sonstiges_gelaende_new numeric
@attribute r.prev_c_sonstiges_tourismus_new numeric
@attribute r.prev_t_hostel_new numeric
@attribute r.prev_t_hotel_new numeric
@attribute r.prev_t_sonstige_new numeric
@attribute r.prev_t_kunstwerk_new numeric
@attribute r.prev_t_kunstzentrum_new numeric
@attribute r.prev_t_gallerie_new numeric
@attribute r.prev_t_info_new numeric
@attribute r.prev_t_museum_new numeric
@attribute r.prev_t_aussichtspunkt_new numeric
@attribute r.prev_t_zoo_new numeric
@attribute r.prev_t_schwimmen_new numeric
@attribute r.prev_t_basketball_new numeric
@attribute r.prev_t_fussball_new numeric
@attribute r.prev_t_sportzentrum_new numeric
@attribute r.prev_t_tischtennis_new numeric
@attribute r.prev_t_sauna_new numeric
@attribute r.prev_t_tennis_new numeric
@attribute r.prev_t_kampfsport_new numeric
@attribute r.prev_t_fitnesszentrum_new numeric
@attribute r.prev_t_spielplatz_new numeric
@attribute r.prev_t_wassersport_new numeric
@attribute r.prev_t_spielothek_new numeric
@attribute r.prev_t_sonstige_sportarten_new numeric
@attribute r.prev_t_kindergarten_new numeric
@attribute r.prev_t_buero_new numeric
@attribute r.prev_t_tankstelle_new numeric
@attribute r.prev_t_coworking_space_new numeric
@attribute r.prev_t_universitaet_new numeric
@attribute r.prev_t_poilzei_new numeric
@attribute r.prev_t_feuerwehr_new numeric
@attribute r.prev_t_kita_new numeric
@attribute r.prev_t_hoehere_schule_new numeric
@attribute r.prev_t_wochenmarkt_new numeric
@attribute r.prev_t_kino_new numeric
@attribute r.prev_t_biergarten_new numeric
@attribute r.prev_t_autovermietung_new numeric
@attribute r.prev_t_buecherei_new numeric
@attribute r.prev_t_nachbarschaftszentrum_new numeric
@attribute r.prev_t_theater_new numeric
@attribute r.prev_t_eisdiele_new numeric
@attribute r.prev_t_nachtclub_new numeric
@attribute r.prev_t_kirche_new numeric
@attribute r.prev_t_moschee_new numeric
@attribute r.prev_t_sonstige_tempel_new numeric
@attribute r.prev_t_schule_new numeric
@attribute r.prev_t_bordell_new numeric
@attribute r.prev_t_post_filiale_new numeric
@attribute r.prev_t_sozialeinrichtung_new numeric
@attribute r.prev_t_ladestation_new numeric
@attribute r.prev_t_zahnarzt_new numeric
@attribute r.prev_t_fahrradverleih_new numeric
@attribute r.prev_t_fahrschule_new numeric
@attribute r.prev_t_tierarzt_new numeric
@attribute r.prev_t_botschaft_new numeric
@attribute r.prev_t_taxistand_new numeric
@attribute r.prev_t_wc_new numeric
@attribute r.prev_t_bankfiliale_new numeric
@attribute r.prev_t_arzt_new numeric
@attribute r.prev_t_parkplatz_new numeric
@attribute r.prev_t_bar_new numeric
@attribute r.prev_t_apotheke_new numeric
@attribute r.prev_t_pub_new numeric
@attribute r.prev_t_telefon_new numeric
@attribute r.prev_t_kaffee_new numeric
@attribute r.prev_t_sonstige_cafes_new numeric
@attribute r.prev_t_fahrrad_parkplatz_new numeric
@attribute r.prev_t_muelleimer_new numeric
@attribute r.prev_t_parkbank_new numeric
@attribute r.prev_t_krankenhaus_new numeric
@attribute r.prev_t_klinik_new numeric
@attribute r.prev_t_geldautomat_new numeric
@attribute r.prev_t_briefkasten_new numeric
@attribute r.prev_t_friedhof_new numeric
@attribute r.prev_t_musikschule_new numeric
@attribute r.prev_t_paketautomat_new numeric
@attribute r.prev_t_sonstige_automaten_new numeric
@attribute r.prev_t_fahrscheinautomat_new numeric
@attribute r.prev_t_parkticketautomat_new numeric
@attribute r.prev_t_kotbeutelautomat_new numeric
@attribute r.prev_t_zigarettenautomat_new numeric
@attribute r.prev_t_suessigkeitenautomat_new numeric
@attribute r.prev_t_briefmarkenautomat_new numeric
@attribute r.prev_t_kondomautomat_new numeric
@attribute r.prev_t_getraenke_und_suessigkeitenautomat_new numeric
@attribute r.prev_t_getraenkeautomat_new numeric
@attribute r.prev_t_grillplatz_new numeric
@attribute r.prev_t_glascontainer_new numeric
@attribute r.prev_t_glas__und_kleidungscontainer_new numeric
@attribute r.prev_t_kleidungscontainer_new numeric
@attribute r.prev_t_sonstige_container_new numeric
@attribute r.prev_t_restaurant_italiener_new numeric
@attribute r.prev_t_restaurant_deutsch_new numeric
@attribute r.prev_t_restaurant_indisch_new numeric
@attribute r.prev_t_restaurant_asiatisch_new numeric
@attribute r.prev_t_restaurant_sushi_new numeric
@attribute r.prev_t_restaurant_griechisch_new numeric
@attribute r.prev_t_restaurant_steakhouse_new numeric
@attribute r.prev_t_restaurant_international_new numeric
@attribute r.prev_t_restaurant_tuerkisch_new numeric
@attribute r.prev_t_fastfood_kebap_new numeric
@attribute r.prev_t_fastfood_burger_new numeric
@attribute r.prev_t_fastfood_asiatisch_new numeric
@attribute r.prev_t_fastfood_pizza_new numeric
@attribute r.prev_t_fastfood_pommesbude_new numeric
@attribute r.prev_t_fast_food_sonstiges_new numeric
@attribute r.prev_t_restaurant_sonstiges_new numeric
@attribute r.prev_t_friseur_new numeric
@attribute r.prev_t_baeckerei_new numeric
@attribute r.prev_t_kleidung_new numeric
@attribute r.prev_t_supermarkt_new numeric
@attribute r.prev_t_kiosk_new numeric
@attribute r.prev_t_florist_new numeric
@attribute r.prev_t_fahrrad_new numeric
@attribute r.prev_t_kosmetik_und_beauty_new numeric
@attribute r.prev_t_optiker_new numeric
@attribute r.prev_t_schuhe_new numeric
@attribute r.prev_t_buecher_new numeric
@attribute r.prev_t_massage_new numeric
@attribute r.prev_t_schmuck_new numeric
@attribute r.prev_t_autoreperatur_new numeric
@attribute r.prev_t_drogerie_new numeric
@attribute r.prev_t_reisen_new numeric
@attribute r.prev_t_mobilfunk_new numeric
@attribute r.prev_t_moebel_new numeric
@attribute r.prev_t_getraenke_new numeric
@attribute r.prev_t_feinkost_new numeric
@attribute r.prev_t_elektronik_new numeric
@attribute r.prev_t_boutique_new numeric
@attribute r.prev_t_autohaus_new numeric
@attribute r.prev_t_spirituosen_new numeric
@attribute r.prev_t_geschenke_new numeric
@attribute r.prev_t_postenmarkt_new numeric
@attribute r.prev_t_schlachter_new numeric
@attribute r.prev_t_waescherei_new numeric
@attribute r.prev_t_computer_new numeric
@attribute r.prev_t_spielzeug_new numeric
@attribute r.prev_t_copyshop_new numeric
@attribute r.prev_t_schneider_new numeric
@attribute r.prev_t_foto_new numeric
@attribute r.prev_t_kunst_new numeric
@attribute r.prev_t_suessigkeiten_new numeric
@attribute r.prev_t_dekoration_new numeric
@attribute r.prev_t_reinigung_new numeric
@attribute r.prev_t_beerdigung_new numeric
@attribute r.prev_t_sport_new numeric
@attribute r.prev_t_zoofachgeschaeft_new numeric
@attribute r.prev_t_textilgeschaeft_new numeric
@attribute r.prev_t_hoergeraete_new numeric
@attribute r.prev_t_baumarkt_new numeric
@attribute r.prev_t_leerstand_new numeric
@attribute r.prev_t_medical_new numeric
@attribute r.prev_t_second_hand_new numeric
@attribute r.prev_t_zeitung_new numeric
@attribute r.prev_t_eisenwarenhandlung_new numeric
@attribute r.prev_t_sonstiger_shop_new numeric
@attribute r.prev_t_baudenkmal_new numeric
@attribute r.prev_t_haltestelle_new numeric
@attribute r.prev_t_sonstiges_gebaeude_new numeric
@attribute r.prev_t_sonstiges_gelaende_new numeric
@attribute r.prev_t_sonstiges_denkmal_new numeric
@attribute r.prev_t_sonstiges_tourismus_new numeric
@attribute r.prev_t_sonstiges_sport_new numeric
@attribute r.prev_t_sonstiges_erholung_new numeric
@attribute r.dynamik_klasse_prj_bi {positiv,negativ}

@data
1.291433,0.717463,0.430478,0.430478,0.286985,1.147941,0.143493,1.076195,0,2.72636,0.215239,0.717463,0,0.215239,0.717463,0.286985,0.286985,0.286985,0.143493,0.143493,0.071746,0.286985,0.932702,0,0,0.143493,0.143493,0.143493,0,0.071746,0,0,0.071746,0.143493,0.286985,0.215239,0.717463,0.860956,0.071746,0,0.071746,0.215239,0.860956,0.143493,0.143493,0.358732,0,0,0.071746,0,0,0,0,0,0.071746,0.143493,0,0,0,0,0,0,0.143493,0.645717,0,0.071746,0,0.215239,0,0.645717,0,0.071746,0.286985,0.143493,0.071746,0,0,0,0,0,0.286985,0,0,0,0,0.143493,0,0.071746,0,0,0.286985,0,0,0,0,0,0,0,0,0,0,0,0.071746,0,0.071746,0.071746,0.143493,0,0,0,0,0.071746,0,0,0.358732,0,0.358732,0,0.071746,0.143493,0.071746,0.143493,0,0,0,0.143493,0,0,0.215239,0,0,0.143493,0.57397,0.860956,0,0,0.286985,0.071746,0,0,0,0,0.143493,0,0,0.071746,0,0,0,0,0,0,0.143493,0,0,0,0.215239,0.143493,0,0,0,0,0,0.071746,0,0,0,0,0,0.071746,0.071746,0.430478,0.143493,0.071746,0,0.143493,0.071746,0,0.071746,0,0,0,0,0,0,0,0,0.071746,0.071746,0,0,0.071746,0.071746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143493,0,0.071746,0.645717,0,0,0.071746,0,0,positiv
1.311939,0.302755,0,0.60551,0.908265,3.229387,0.100918,1.917449,0,3.330306,0.403673,2.220204,0,0.100918,0.706428,0.201837,0.403673,0,0,0,0.100918,0.908265,1.21102,0,0,0.100918,0,0.100918,0,0.100918,0,0.100918,0.201837,0.201837,0.302755,0.100918,0.201837,1.715612,0.201837,0,0,2.018367,1.311939,0.504592,0.302755,0.403673,0.807347,0,0,0,0,0,0.100918,0.100918,0,0.201837,0.100918,0,0,0,0,0,0.60551,0.706428,0.100918,0.100918,0,0.100918,0,0.403673,0,0,0.403673,0.201837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908265,0,0,0,0,0,0,0,0,0,0,0.201837,0,0,0,0,0,0,0,0,0.100918,0,0.100918,0,0.302755,0.100918,0,0,0,0.100918,0.100918,0.201837,0.201837,0,0.302755,0.100918,0.100918,0,0.100918,0.100918,0,0.100918,0.201837,1.715612,0,0,0.100918,0.201837,0,0,0,0,0,0.201837,0,0,0,0,0,0,0,0,0,0,0,0,0.403673,0.100918,0.100918,0.100918,0,0,0.201837,0,0,0,0.201837,0.100918,0,0,0.201837,0.403673,0.302755,0,0.807347,0.201837,0.201837,0,0,0,0,0,0,0.100918,0,0,0.100918,0,0,0,0,0,0.201837,0,0,0,0.100918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60551,0.100918,2.018367,0.706428,0.100918,0.201837,0.100918,0,0,negativ
0.69366,0.336921,0.198189,0.356739,0.455834,1.169312,0,1.169312,0,1.03058,0.099094,1.625146,0.019819,0.218007,0.237826,0.099094,0.059457,0.099094,0.099094,0.019819,0.039638,0.455834,0.554928,0,0.019819,0,0.059457,0.158551,0,0.158551,0,0,0.059457,0,0.237826,0.039638,0.059457,0.138732,0.099094,0,0.019819,0.614385,0.792754,0.218007,0.079275,0.416196,0.753117,0.039638,0.039638,0.019819,0.019819,0.079275,0,0.019819,0,0,0.079275,0,0.039638,0,0,0.019819,0.138732,0.673841,0,0.17837,0.039638,0.17837,0,0.158551,0,0,0.059457,0.039638,0.059457,0,0,0,0,0,0.099094,0,0,0,0,0.059457,0,0,0,0,0.455834,0,0,0,0.019819,0,0,0,0,0,0,0,0.019819,0,0.059457,0.059457,0.059457,0,0,0,0.019819,0.019819,0,0,0.099094,0.019819,0.039638,0,0,0,0.059457,0,0.079275,0,0.099094,0.099094,0.039638,0.059457,0.039638,0,0.099094,0.198189,0.039638,0.138732,0,0,0.158551,0.099094,0,0,0,0,0,0.059457,0.019819,0,0,0,0,0,0,0,0.019819,0,0,0,0.17837,0.059457,0,0.039638,0.158551,0,0.079275,0.039638,0.019819,0.079275,0,0.039638,0.019819,0,0.079275,0.218007,0.079275,0.118913,0.614385,0.099094,0.118913,0,0.019819,0.019819,0.019819,0.099094,0.079275,0,0.019819,0,0.019819,0,0,0,0,0.019819,0,0.039638,0.019819,0.039638,0.079275,0,0,0,0,0,0,0,0.019819,0.019819,0.019819,0.019819,0,0,0,0,0,0,0,0.019819,0,0,0,0,0.138732,0,0.614385,0.673841,0,0.019819,0.17837,0,0.039638,negativ
0.107523,0.322569,0.107523,0.250887,0.394251,0.537615,0,0.752661,0.035841,0.250887,0.107523,1.111071,0,0.035841,0.035841,0,0.035841,0.107523,0,0,0,0.394251,0.107523,0,0,0.035841,0.035841,0.286728,0.035841,0.107523,0.035841,0,0.143364,0,0.035841,0.035841,0,0.035841,0,0,0,0.430092,0.537615,0.107523,0.107523,0.35841,0.215046,0.143364,0.107523,0,0.035841,0,0,0,0,0,0,0,0.107523,0,0,0,0.143364,0.179205,0,0,0.035841,0,0,0.035841,0,0,0.035841,0,0,0,0,0,0,0,0.107523,0,0,0,0,0,0,0,0,0,0.394251,0,0,0,0,0,0,0,0.035841,0,0.035841,0,0,0,0,0.071682,0.035841,0.035841,0,0,0,0,0,0.035841,0,0.035841,0.035841,0,0,0,0,0,0.035841,0.071682,0,0.107523,0.035841,0.143364,0.035841,0.035841,0,0.071682,0,0.035841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071682,0.071682,0,0.035841,0.071682,0,0.035841,0,0,0.035841,0,0,0,0,0.071682,0.250887,0.107523,0.107523,0.179205,0.107523,0.107523,0.107523,0.071682,0,0.035841,0,0,0,0,0.035841,0,0,0,0.035841,0,0.035841,0,0.035841,0,0,0,0,0,0,0,0,0,0,0.035841,0.071682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143364,0,0.430092,0.179205,0,0,0,0,0,negativ
0.089807,0.359228,0.404131,0.314324,0.067355,0.224517,0,0.628648,0,0.449035,0.246969,0.920521,0,0,0.067355,0,0,0.291872,0.112259,0.246969,0.112259,0.067355,0.179614,0,0,0.089807,0,0.112259,0.044903,0.022452,0,0,0.067355,0,0,0,0.067355,0.157162,0.044903,0,0.022452,0.044903,0.381679,0.224517,0.157162,0.426583,0.022452,0.089807,0.067355,0,0,0.022452,0.022452,0,0.067355,0.067355,0,0,0.022452,0,0,0,0.202066,0.157162,0,0.022452,0,0,0,0.044903,0,0,0,0,0.022452,0,0,0,0,0,0.179614,0,0,0,0,0.044903,0,0.246969,0.112259,0.112259,0.067355,0.022452,0,0,0,0,0,0,0,0,0,0.022452,0,0,0,0,0,0,0,0,0,0,0,0.044903,0,0.022452,0,0.089807,0.022452,0,0.022452,0,0,0,0,0.067355,0.022452,0.044903,0,0,0.022452,0.112259,0,0.157162,0,0,0,0.044903,0,0,0,0.022452,0,0,0,0,0,0,0,0,0,0,0.067355,0,0,0,0.067355,0,0,0.044903,0.044903,0.022452,0,0,0.044903,0.067355,0.022452,0.022452,0,0,0.112259,0.157162,0.157162,0.044903,0.022452,0.089807,0.202066,0.022452,0.067355,0,0,0,0,0.022452,0.044903,0,0,0.067355,0.022452,0,0.044903,0,0.044903,0,0,0,0,0,0.044903,0,0.022452,0,0,0,0,0.022452,0,0,0,0,0,0,0,0,0,0,0,0,0.022452,0,0.202066,0,0.044903,0.157162,0,0,0.022452,0,0.067355,positiv
0.358522,0.165472,0.358522,0.137893,0.110314,0.910094,0.027579,0.330943,0,0.523993,0.110314,0.579151,0,0.027579,0.082736,0.027579,0.248207,0.220629,0.137893,0.027579,0.055157,0.110314,0.358522,0,0,0.027579,0,0.110314,0,0.027579,0,0.027579,0.027579,0.027579,0.055157,0,0.082736,0.110314,0.055157,0,0,0.551572,0.19305,0.110314,0.027579,0.413679,0,0.027579,0.027579,0,0.055157,0,0,0,0.055157,0.027579,0,0.027579,0,0,0,0,0.027579,0.220629,0,0,0,0.027579,0,0.082736,0,0,0.248207,0,0,0,0,0,0,0.055157,0.165472,0,0,0,0,0.082736,0,0.027579,0,0.055157,0.110314,0.027579,0,0,0,0,0,0,0,0,0,0,0,0,0.027579,0.027579,0,0,0,0,0,0,0.027579,0,0,0,0.027579,0,0,0.027579,0.027579,0.027579,0,0,0,0.055157,0.027579,0.055157,0,0,0,0.275786,0.027579,0.110314,0,0,0.055157,0.055157,0,0,0,0,0.082736,0,0,0,0,0,0,0,0,0,0.055157,0,0,0,0.027579,0.027579,0,0.055157,0.027579,0,0,0,0,0,0,0,0.027579,0,0.082736,0.055157,0.027579,0.137893,0,0.027579,0.19305,0.027579,0.027579,0,0.027579,0,0,0,0,0,0,0.055157,0,0,0,0.027579,0.027579,0,0,0.027579,0,0,0,0,0,0,0,0,0,0,0,0,0.027579,0,0,0,0,0,0,0,0.027579,0,0,0,0.027579,0,0.468836,0.220629,0,0,0,0,0.055157,positiv
0.159859,0.266432,0.053286,0.213146,0.133216,0.133216,0,0.159859,0,0.479578,0.213146,0.852583,0,0.053286,0,0,0.106573,0.026643,0.026643,0.106573,0.053286,0.133216,0.07993,0,0,0.07993,0,0.159859,0.026643,0.026643,0,0,0.026643,0,0.026643,0,0.106573,0.053286,0.053286,0,0,0.053286,0.053286,0.07993,0.159859,0.399648,0.106573,0.053286,0.07993,0.053286,0,0,0,0,0,0.026643,0.026643,0,0,0,0,0,0.159859,0.266432,0,0,0.026643,0.026643,0,0,0,0,0.106573,0,0,0,0,0,0,0,0.026643,0,0,0,0,0.026643,0,0.106573,0,0.053286,0.133216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026643,0.053286,0.026643,0.026643,0.053286,0,0,0,0,0,0,0,0.053286,0,0.106573,0,0,0.026643,0,0.106573,0.053286,0,0,0.026643,0.053286,0,0.026643,0,0,0.053286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026643,0,0,0,0,0,0.026643,0,0,0.026643,0,0.026643,0.026643,0.159859,0.133216,0,0.026643,0.239789,0.053286,0.026643,0.053286,0,0.026643,0,0,0,0.053286,0,0,0.026643,0,0,0,0,0,0,0,0,0,0,0,0,0.026643,0,0.053286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026643,0,0,0.159859,0,0,0.266432,0,0,0,0,0,positiv
0.082253,0.054835,0.137088,0.10967,0.054835,0.21934,0,0.10967,0.027418,0.438681,0.10967,0.493516,0,0.027418,0,0,0.027418,0.10967,0.027418,0,0.027418,0.054835,0,0,0,0,0,0.054835,0.027418,0.027418,0,0,0.027418,0,0.027418,0,0.137088,0.054835,0.137088,0.027418,0,0.21934,0.027418,0.054835,0,0.301593,0,0,0.027418,0.054835,0,0,0,0,0.027418,0.082253,0,0.027418,0,0,0,0,0.082253,0.10967,0,0.027418,0.027418,0,0,0,0,0,0.027418,0,0,0,0,0,0,0,0.082253,0.027418,0,0,0,0,0,0,0.027418,0.027418,0.054835,0,0,0,0,0,0,0,0,0,0,0,0,0.027418,0,0.027418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027418,0,0,0,0.054835,0,0,0,0,0.054835,0.054835,0,0,0.027418,0.137088,0.027418,0,0,0,0.082253,0,0,0,0,0,0,0,0,0,0.027418,0.054835,0,0,0.027418,0,0,0,0,0,0,0,0,0,0,0,0.027418,0,0.027418,0,0,0.054835,0,0.10967,0.082253,0,0,0.054835,0,0,0,0,0,0.027418,0,0.027418,0,0,0,0.054835,0.082253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027418,0,0,0,0,0,0,0,0,0,0,0,0.082253,0,0.137088,0.10967,0,0,0.027418,0,0,positiv
0,0.091385,0.091385,0.091385,0,0.434077,0,0.114231,0,0.342693,0.045692,0.251308,0,0,0,0,0,0.068539,0.022846,0,0.045692,0,0.159923,0,0,0.022846,0,0.091385,0,0,0,0.022846,0,0.045692,0.022846,0.022846,0.068539,0.045692,0.045692,0,0,0.274154,0.068539,0.045692,0.022846,0.159923,0,0.022846,0.022846,0,0,0,0.022846,0,0,0,0,0,0,0,0,0,0.045692,0.091385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022846,0,0.045692,0,0,0,0,0.022846,0,0,0,0.045692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022846,0,0,0,0,0.022846,0,0,0,0.045692,0,0,0,0.068539,0,0.022846,0.022846,0,0,0.159923,0.022846,0.045692,0,0,0.022846,0.022846,0,0,0.022846,0,0,0,0,0,0,0,0,0,0,0,0.022846,0.022846,0,0,0.022846,0,0,0,0,0,0,0,0,0,0,0,0,0.022846,0.022846,0.045692,0.022846,0.022846,0,0.091385,0.045692,0.022846,0.022846,0,0,0,0,0.022846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045692,0,0.274154,0.091385,0,0,0,0,0,positiv
0,0.538368,0.233293,0.358912,0.125619,0.197401,0,0.358912,0.035891,0.915225,0.44864,1.256191,0,0,0,0.035891,0,0.125619,0.107674,0.125619,0.179456,0.125619,0.035891,0,0,0.035891,0.017946,0.358912,0.035891,0.053837,0.035891,0.017946,0.107674,0,0,0.053837,0.143565,0.179456,0,0,0,0.16151,0.125619,0.179456,0.269184,0.502476,0.143565,0.107674,0.107674,0.053837,0,0,0.035891,0,0.053837,0.16151,0,0.035891,0,0,0,0,0.233293,0.520422,0,0,0,0,0,0,0,0.035891,0,0,0,0,0,0.017946,0.017946,0.017946,0.053837,0,0,0,0,0.089728,0,0.125619,0.017946,0.16151,0.125619,0,0,0.017946,0,0,0,0,0,0.017946,0,0,0,0,0,0,0,0.017946,0.017946,0,0,0,0.017946,0.035891,0,0.035891,0.035891,0.035891,0,0,0,0,0,0.035891,0,0.143565,0.035891,0.215347,0.053837,0,0.053837,0,0.089728,0.179456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053837,0,0,0,0.035891,0,0.017946,0.035891,0,0,0,0,0.017946,0.089728,0,0.017946,0.053837,0,0.017946,0.017946,0.269184,0.089728,0.107674,0.035891,0.323021,0,0.071782,0.053837,0,0,0,0.035891,0.017946,0.035891,0,0.053837,0.089728,0.053837,0.035891,0.017946,0.071782,0,0,0,0,0.035891,0,0.017946,0,0,0,0,0,0,0,0,0.017946,0,0,0,0,0,0,0,0,0.035891,0,0,0.233293,0,0.16151,0.520422,0,0,0,0,0.017946,positiv
