@relation '20180909_h3c_bzr-weka.filters.unsupervised.attribute.Remove-R1,3,7-21,24-89-weka.filters.unsupervised.attribute.Remove-R1,3-6,236-464-weka.filters.unsupervised.attribute.Reorder-R2-230,1'

@attribute r.d_tourismus_new numeric
@attribute r.d_vergnuegung_new numeric
@attribute r.d_sport_und_erholung_new numeric
@attribute r.d_public_service_new numeric
@attribute r.d_buero_new numeric
@attribute r.d_mobilitaet_new numeric
@attribute r.d_sonstiges_new numeric
@attribute r.d_gastronomie_new numeric
@attribute r.d_religion_new numeric
@attribute r.d_oeffentlicher_raum_new numeric
@attribute r.d_dienstleistung_new numeric
@attribute r.d_waren_new numeric
@attribute r.d_leerstand_new numeric
@attribute r.c_uebernachtung_new numeric
@attribute r.c_sehenswuerdigkeit_new numeric
@attribute r.c_kultur_new numeric
@attribute r.c_info_new numeric
@attribute r.c_sport_new numeric
@attribute r.c_erholung_new numeric
@attribute r.c_zwielicht_new numeric
@attribute r.c_bildung_new numeric
@attribute r.c_buero_new numeric
@attribute r.c_individual_new numeric
@attribute r.c_hipster_new numeric
@attribute r.c_sicherheit_new numeric
@attribute r.c_sonstiges_new numeric
@attribute r.c_ausgehen_new numeric
@attribute r.c_gaststaetten_new numeric
@attribute r.c_sozial_new numeric
@attribute r.c_cafe_new numeric
@attribute r.c_religioese_gebaeude_new numeric
@attribute r.c_post_new numeric
@attribute r.c_gesundheit_new numeric
@attribute r.c_wc_new numeric
@attribute r.c_bank_new numeric
@attribute r.c_telefon_new numeric
@attribute r.c_recycling_new numeric
@attribute r.c_parkbank_new numeric
@attribute r.c_briefe_und_pakete_new numeric
@attribute r.c_friedhof_new numeric
@attribute r.c_automaten_new numeric
@attribute r.c_oepnv_new numeric
@attribute r.c_restaurant_new numeric
@attribute r.c_fast_food_new numeric
@attribute r.c_friseur_new numeric
@attribute r.c_essen_und_trinken_new numeric
@attribute r.c_kleidung_new numeric
@attribute r.c_sonstige_waren_new numeric
@attribute r.c_werkstatt_new numeric
@attribute r.c_kosmetik_und_beauty_new numeric
@attribute r.c_medical_new numeric
@attribute r.c_print_new numeric
@attribute r.c_massage_new numeric
@attribute r.c_drogerie_new numeric
@attribute r.c_reisen_new numeric
@attribute r.c_technik_new numeric
@attribute r.c_spielzeug_und_geschenke_new numeric
@attribute r.c_waescherei_new numeric
@attribute r.c_kunst_new numeric
@attribute r.c_beerdigung_new numeric
@attribute r.c_handwerk_new numeric
@attribute r.c_leerstand_new numeric
@attribute r.c_sonstiger_shop_new numeric
@attribute r.c_sonstiges_gebaeude_new numeric
@attribute r.c_sonstiges_gelaende_new numeric
@attribute r.c_sonstiges_tourismus_new numeric
@attribute r.t_hostel_new numeric
@attribute r.t_hotel_new numeric
@attribute r.t_sonstige_new numeric
@attribute r.t_kunstwerk_new numeric
@attribute r.t_kunstzentrum_new numeric
@attribute r.t_gallerie_new numeric
@attribute r.t_info_new numeric
@attribute r.t_museum_new numeric
@attribute r.t_aussichtspunkt_new numeric
@attribute r.t_zoo_new numeric
@attribute r.t_schwimmen_new numeric
@attribute r.t_basketball_new numeric
@attribute r.t_fussball_new numeric
@attribute r.t_sportzentrum_new numeric
@attribute r.t_tischtennis_new numeric
@attribute r.t_sauna_new numeric
@attribute r.t_tennis_new numeric
@attribute r.t_kampfsport_new numeric
@attribute r.t_fitnesszentrum_new numeric
@attribute r.t_spielplatz_new numeric
@attribute r.t_wassersport_new numeric
@attribute r.t_spielothek_new numeric
@attribute r.t_sonstige_sportarten_new numeric
@attribute r.t_kindergarten_new numeric
@attribute r.t_buero_new numeric
@attribute r.t_tankstelle_new numeric
@attribute r.t_coworking_space_new numeric
@attribute r.t_universitaet_new numeric
@attribute r.t_poilzei_new numeric
@attribute r.t_feuerwehr_new numeric
@attribute r.t_kita_new numeric
@attribute r.t_hoehere_schule_new numeric
@attribute r.t_wochenmarkt_new numeric
@attribute r.t_kino_new numeric
@attribute r.t_biergarten_new numeric
@attribute r.t_autovermietung_new numeric
@attribute r.t_buecherei_new numeric
@attribute r.t_nachbarschaftszentrum_new numeric
@attribute r.t_theater_new numeric
@attribute r.t_eisdiele_new numeric
@attribute r.t_nachtclub_new numeric
@attribute r.t_kirche_new numeric
@attribute r.t_moschee_new numeric
@attribute r.t_sonstige_tempel_new numeric
@attribute r.t_schule_new numeric
@attribute r.t_bordell_new numeric
@attribute r.t_post_filiale_new numeric
@attribute r.t_sozialeinrichtung_new numeric
@attribute r.t_ladestation_new numeric
@attribute r.t_zahnarzt_new numeric
@attribute r.t_fahrradverleih_new numeric
@attribute r.t_fahrschule_new numeric
@attribute r.t_tierarzt_new numeric
@attribute r.t_botschaft_new numeric
@attribute r.t_taxistand_new numeric
@attribute r.t_wc_new numeric
@attribute r.t_bankfiliale_new numeric
@attribute r.t_arzt_new numeric
@attribute r.t_parkplatz_new numeric
@attribute r.t_bar_new numeric
@attribute r.t_apotheke_new numeric
@attribute r.t_pub_new numeric
@attribute r.t_telefon_new numeric
@attribute r.t_kaffee_new numeric
@attribute r.t_sonstige_cafes_new numeric
@attribute r.t_fahrrad_parkplatz_new numeric
@attribute r.t_muelleimer_new numeric
@attribute r.t_parkbank_new numeric
@attribute r.t_krankenhaus_new numeric
@attribute r.t_klinik_new numeric
@attribute r.t_geldautomat_new numeric
@attribute r.t_briefkasten_new numeric
@attribute r.t_friedhof_new numeric
@attribute r.t_musikschule_new numeric
@attribute r.t_paketautomat_new numeric
@attribute r.t_sonstige_automaten_new numeric
@attribute r.t_fahrscheinautomat_new numeric
@attribute r.t_parkticketautomat_new numeric
@attribute r.t_kotbeutelautomat_new numeric
@attribute r.t_zigarettenautomat_new numeric
@attribute r.t_suessigkeitenautomat_new numeric
@attribute r.t_briefmarkenautomat_new numeric
@attribute r.t_kondomautomat_new numeric
@attribute r.t_getraenke_und_suessigkeitenautomat_new numeric
@attribute r.t_getraenkeautomat_new numeric
@attribute r.t_grillplatz_new numeric
@attribute r.t_glascontainer_new numeric
@attribute r.t_glas__und_kleidungscontainer_new numeric
@attribute r.t_kleidungscontainer_new numeric
@attribute r.t_sonstige_container_new numeric
@attribute r.t_restaurant_italiener_new numeric
@attribute r.t_restaurant_deutsch_new numeric
@attribute r.t_restaurant_indisch_new numeric
@attribute r.t_restaurant_asiatisch_new numeric
@attribute r.t_restaurant_sushi_new numeric
@attribute r.t_restaurant_griechisch_new numeric
@attribute r.t_restaurant_steakhouse_new numeric
@attribute r.t_restaurant_international_new numeric
@attribute r.t_restaurant_tuerkisch_new numeric
@attribute r.t_fastfood_kebap_new numeric
@attribute r.t_fastfood_burger_new numeric
@attribute r.t_fastfood_asiatisch_new numeric
@attribute r.t_fastfood_pizza_new numeric
@attribute r.t_fastfood_pommesbude_new numeric
@attribute r.t_fast_food_sonstiges_new numeric
@attribute r.t_restaurant_sonstiges_new numeric
@attribute r.t_friseur_new numeric
@attribute r.t_baeckerei_new numeric
@attribute r.t_kleidung_new numeric
@attribute r.t_supermarkt_new numeric
@attribute r.t_kiosk_new numeric
@attribute r.t_florist_new numeric
@attribute r.t_fahrrad_new numeric
@attribute r.t_kosmetik_und_beauty_new numeric
@attribute r.t_optiker_new numeric
@attribute r.t_schuhe_new numeric
@attribute r.t_buecher_new numeric
@attribute r.t_massage_new numeric
@attribute r.t_schmuck_new numeric
@attribute r.t_autoreperatur_new numeric
@attribute r.t_drogerie_new numeric
@attribute r.t_reisen_new numeric
@attribute r.t_mobilfunk_new numeric
@attribute r.t_moebel_new numeric
@attribute r.t_getraenke_new numeric
@attribute r.t_feinkost_new numeric
@attribute r.t_elektronik_new numeric
@attribute r.t_boutique_new numeric
@attribute r.t_autohaus_new numeric
@attribute r.t_spirituosen_new numeric
@attribute r.t_geschenke_new numeric
@attribute r.t_postenmarkt_new numeric
@attribute r.t_schlachter_new numeric
@attribute r.t_waescherei_new numeric
@attribute r.t_computer_new numeric
@attribute r.t_spielzeug_new numeric
@attribute r.t_copyshop_new numeric
@attribute r.t_schneider_new numeric
@attribute r.t_foto_new numeric
@attribute r.t_kunst_new numeric
@attribute r.t_suessigkeiten_new numeric
@attribute r.t_dekoration_new numeric
@attribute r.t_reinigung_new numeric
@attribute r.t_beerdigung_new numeric
@attribute r.t_sport_new numeric
@attribute r.t_zoofachgeschaeft_new numeric
@attribute r.t_textilgeschaeft_new numeric
@attribute r.t_hoergeraete_new numeric
@attribute r.t_baumarkt_new numeric
@attribute r.t_leerstand_new numeric
@attribute r.t_medical_new numeric
@attribute r.t_second_hand_new numeric
@attribute r.t_zeitung_new numeric
@attribute r.t_eisenwarenhandlung_new numeric
@attribute r.t_sonstiger_shop_new numeric
@attribute r.t_baudenkmal_new numeric
@attribute r.t_haltestelle_new numeric
@attribute r.t_sonstiges_gebaeude_new numeric
@attribute r.t_sonstiges_gelaende_new numeric
@attribute r.t_sonstiges_denkmal_new numeric
@attribute r.t_sonstiges_tourismus_new numeric
@attribute r.t_sonstiges_sport_new numeric
@attribute r.t_sonstiges_erholung_new numeric
@attribute r.dynamik_klasse_prj_bi {positiv,negativ}

@data
1.568574,1.022983,0.340994,0.477392,1.22758,4.364728,0.068199,2.455159,0,3.205347,0.204597,1.636773,0,0.750188,0.681989,0.409193,0.068199,0.272795,0.068199,0,0.204597,1.22758,0.61379,0,0,0.068199,0.204597,0.409193,0,0.136398,0,0,0.136398,0.068199,0.136398,0,0.409193,1.363977,0.068199,0,0,3.750938,1.704972,0.61379,0.136398,0.409193,0.204597,0.272795,0.068199,0.068199,0.068199,0,0,0,0,0,0,0,0.136398,0,0,0,0.477392,1.295778,0,0.068199,0.068199,0.61379,0.068199,0.681989,0,0.272795,0.068199,0,0,0,0,0,0,0,0.204597,0,0,0,0,0,0,0,0.068199,0.136398,1.22758,0,0,0,0,0,0,0,0,0,0,0,0.068199,0,0.136398,0.136398,0.204597,0,0,0,0,0,0,0,0,0,0.136398,0,0.068199,0.068199,0.136398,0.068199,0,0,0,0.272795,0.068199,0.136398,0,0,0,0.272795,0.409193,1.363977,0,0,0.136398,0.068199,0,0,0,0,0,0.068199,0,0,0,0,0,0,0,0,0,0,0,0,0.136398,0.136398,0,0.068199,0,0,0.068199,0.272795,0,0.136398,0.068199,0.136398,0.068199,0,0.204597,1.022983,0.136398,0.068199,0.136398,0.136398,0.068199,0.068199,0,0.068199,0.068199,0.068199,0,0,0.068199,0.068199,0,0,0,0.068199,0.068199,0,0,0,0,0,0,0,0.068199,0,0,0,0,0,0,0.136398,0,0,0,0,0,0,0.068199,0,0,0,0,0,0,0,0.477392,0,3.750938,1.295778,0,0,0.068199,0,0.068199,positiv
4.260985,1.242787,0.532623,1.68664,2.219263,7.456724,0.798935,3.994674,0.177541,7.279183,0.443853,3.994674,0,0.887705,2.840657,0.798935,0.177541,0.355082,0.177541,0,0.266312,2.219263,1.952952,0,0,0.798935,0.088771,0.355082,0,0.177541,0.177541,0.088771,0.443853,0.621394,0.976476,0,0.443853,4.083444,0.266312,0,0,5.503773,3.195739,0.621394,0.088771,1.065246,1.420328,0.177541,0.177541,0.088771,0.088771,0.266312,0.088771,0.177541,0.177541,0.088771,0.266312,0,0,0,0,0,0.266312,1.775411,0,0.355082,0,0.798935,0.088771,2.840657,0,0.177541,0.177541,0.621394,0,0,0,0,0,0.177541,0,0,0,0,0.177541,0.088771,0,0,0,0,2.219263,0,0,0.177541,0,0,0,0,0,0,0,0.088771,0,0,0,0.088771,0.088771,0.088771,0,0.088771,0.088771,0,0.088771,0,0,0,0.355082,0,0,0.798935,0.266312,0.621394,0.621394,0.266312,0.177541,0.177541,0.177541,0.177541,0,0,0.088771,1.065246,0.443853,4.083444,0,0,0.355082,0.177541,0,0,0.088771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266312,0.443853,0,0.177541,0.088771,0,0.177541,0.177541,0,0.088771,0,0,0,0.088771,0.443853,1.864181,0.088771,0.088771,1.154017,0.621394,0.177541,0.088771,0,0.088771,0.088771,0.266312,0.177541,0.088771,0.088771,0,0.177541,0.177541,0,0,0,0,0.088771,0,0.177541,0,0.266312,0,0,0,0,0,0.088771,0,0,0,0.177541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266312,0,5.503773,1.775411,0,0,0.355082,0,0.088771,negativ
0.755677,0.81097,0.497641,0.64509,0.829401,4.03642,0.129018,2.082719,0.018431,2.801533,0.331761,4.239162,0.055293,0.258036,0.294898,0.350192,0.16588,0.202743,0.294898,0.055293,0.110587,0.829401,0.497641,0.073725,0,0.055293,0.073725,0.331761,0.036862,0.258036,0.018431,0,0.129018,0.018431,0.368623,0.018431,0.368623,1.1243,0.110587,0,0.055293,3.538779,1.511354,0.313329,0.16588,0.718815,1.843114,0.331761,0.018431,0.092156,0.055293,0.16588,0,0.092156,0.018431,0.073725,0.147449,0.036862,0.184311,0.018431,0,0.055293,0.608228,1.105868,0,0.036862,0.036862,0.184311,0.036862,0.276467,0.055293,0.129018,0.16588,0.129018,0,0,0,0,0.018431,0.055293,0.055293,0,0,0,0.055293,0.092156,0,0.036862,0.018431,0.018431,0.829401,0,0.073725,0.018431,0,0,0.018431,0.018431,0,0.018431,0.018431,0.018431,0.018431,0.036862,0.036862,0.036862,0.055293,0.018431,0,0,0.018431,0.018431,0,0,0.036862,0.036862,0.073725,0,0.018431,0.055293,0.018431,0.018431,0.036862,0.036862,0.055293,0.202743,0.036862,0.110587,0.018431,0.110587,0.110587,0.239605,0.313329,1.1243,0,0,0.331761,0.092156,0,0,0.018431,0.018431,0.147449,0.055293,0,0.018431,0,0,0,0.018431,0,0,0.055293,0,0,0,0.276467,0.184311,0.018431,0.221174,0.16588,0,0.055293,0.055293,0.036862,0.073725,0.018431,0,0.018431,0.036862,0.16588,0.497641,0.16588,0.16588,1.529785,0.110587,0.276467,0.036862,0.018431,0.092156,0.055293,0.239605,0.092156,0,0.073725,0,0.092156,0.018431,0.073725,0.055293,0.018431,0.092156,0,0,0,0.018431,0.092156,0,0.018431,0,0.036862,0.055293,0.073725,0,0.092156,0.092156,0.018431,0.092156,0.036862,0.018431,0.073725,0,0.036862,0,0,0.055293,0,0,0,0,0.608228,0.018431,3.39133,1.105868,0,0,0.036862,0,0.202743,negativ
0.606633,0.572931,0.101105,0.74144,0.269614,1.415476,0,1.718792,0.033702,2.561337,0.640334,2.089512,0,0.235913,0.033702,0.067404,0.337018,0.067404,0.033702,0,0.134807,0.269614,0.37072,0,0,0.067404,0.067404,0.438123,0,0.404422,0.033702,0,0.235913,0.101105,0.303316,0,0.674036,0.640334,0.101105,0,0.134807,1.044756,1.179563,0.134807,0.303316,0.808843,0.269614,0.235913,0.033702,0.134807,0.134807,0.168509,0.067404,0,0,0.101105,0,0.101105,0,0.033702,0,0,0.337018,0.909949,0,0,0,0.202211,0.033702,0.033702,0,0.067404,0.337018,0,0,0,0,0,0,0,0.033702,0,0,0,0.033702,0,0,0,0,0.101105,0.269614,0,0,0,0,0,0,0,0,0,0,0,0.033702,0,0,0.134807,0.067404,0.033702,0,0,0,0,0,0,0,0.101105,0.101105,0.067404,0,0,0.033702,0.101105,0.101105,0.033702,0,0.337018,0.101105,0.101105,0,0.067404,0.202211,0.202211,0.404422,0.640334,0,0,0.202211,0.101105,0,0,0,0,0.134807,0.033702,0,0,0.067404,0,0,0,0.067404,0,0.168509,0.067404,0,0.033702,0.168509,0.033702,0.033702,0.303316,0,0,0.033702,0,0,0,0.033702,0,0,0,0.101105,0.606633,0.303316,0.235913,0.202211,0.134807,0.269614,0.168509,0.033702,0.134807,0.134807,0.033702,0.134807,0.067404,0.033702,0,0,0,0.067404,0,0,0.067404,0.033702,0.033702,0,0.067404,0,0,0.033702,0.067404,0,0,0.033702,0,0,0,0,0,0.033702,0.033702,0,0,0.033702,0,0,0,0,0,0,0,0.337018,0,0.909949,0.909949,0,0,0,0,0.033702,negativ
0.021916,0.613645,0.087664,0.37257,0.394486,1.709439,0,0.788972,0,1.205374,0.328738,1.512196,0,0.021916,0,0.043832,0,0.021916,0.065748,0.241075,0.065748,0.394486,0.416402,0,0,0.043832,0,0.328738,0.087664,0.087664,0,0,0.131495,0,0.043832,0.043832,0.219159,0.504065,0.087664,0,0.065748,1.293037,0.350654,0.350654,0.175327,0.504065,0.131495,0.131495,0.109579,0.065748,0.087664,0,0.043832,0,0.021916,0.131495,0.043832,0.021916,0.021916,0,0.021916,0,0.328738,0.284907,0,0,0,0.021916,0,0,0.021916,0.021916,0,0,0,0,0,0,0,0,0.021916,0,0,0,0,0.021916,0,0.219159,0,0.043832,0.394486,0,0,0,0,0,0,0,0,0,0,0,0.021916,0.043832,0,0.021916,0,0,0,0,0,0.021916,0,0.043832,0,0.021916,0.021916,0.043832,0.021916,0,0,0,0.021916,0,0.021916,0.131495,0.087664,0.197243,0.043832,0,0.065748,0.328738,0.219159,0.504065,0,0,0.021916,0.065748,0,0,0.021916,0.021916,0.131495,0.043832,0,0.021916,0.021916,0,0,0,0,0,0,0,0,0,0.043832,0,0,0.043832,0,0,0.021916,0.021916,0.021916,0.109579,0.021916,0.021916,0.021916,0,0.175327,0.197243,0.175327,0.175327,0.087664,0.087664,0.219159,0.021916,0.043832,0.065748,0.065748,0.021916,0,0.043832,0.043832,0.043832,0,0.021916,0.087664,0,0,0.021916,0.043832,0,0.021916,0,0.021916,0.043832,0,0,0.021916,0.021916,0,0.021916,0.021916,0,0,0,0.021916,0,0,0,0,0.021916,0,0,0,0,0,0.021916,0.328738,0,1.161542,0.284907,0,0,0,0,0.043832,positiv
0.612663,0.266375,0.159825,0.559388,0.266375,3.516156,0,0.586026,0.053275,2.157641,0.159825,0.586026,0,0.10655,0.026638,0.026638,0.479476,0.079913,0.079913,0.10655,0.10655,0.266375,0.825764,0,0,0,0,0.133188,0.133188,0.10655,0.053275,0,0.026638,0.053275,0.293013,0.053275,0.692576,0.852401,0.026638,0,0.159825,2.690392,0.2131,0.266375,0.079913,0.266375,0.079913,0.026638,0.026638,0,0,0.026638,0.053275,0,0,0.026638,0,0.026638,0,0,0,0,0.133188,0.319651,0,0,0,0.079913,0.026638,0,0,0,0.479476,0.026638,0,0,0,0,0,0,0,0,0,0,0.026638,0.026638,0,0.079913,0.053275,0.053275,0.266375,0,0,0,0,0,0,0,0,0,0.026638,0.053275,0,0.053275,0,0.053275,0,0.026638,0.026638,0,0.053275,0.026638,0,0.079913,0.026638,0,0.026638,0,0.026638,0,0.053275,0.053275,0,0,0.053275,0,0,0.10655,0.053275,0,0.053275,0.532751,0.399563,0.852401,0,0,0.293013,0.026638,0,0,0,0,0.479476,0.079913,0,0.079913,0.053275,0,0,0.026638,0,0,0.239738,0.026638,0,0.026638,0.079913,0,0.026638,0.026638,0,0,0.026638,0,0,0.053275,0.026638,0,0,0.053275,0.133188,0.053275,0.079913,0.053275,0.079913,0.053275,0.10655,0,0,0,0,0,0,0.053275,0,0.026638,0,0,0.026638,0.026638,0,0.026638,0,0,0,0.026638,0,0,0,0,0,0,0.026638,0,0,0,0,0,0.026638,0,0,0,0,0,0,0,0,0,0,0,0.133188,0,2.210916,0.319651,0,0.026638,0,0,0.053275,positiv
0.103418,0.413672,0.051709,0.206836,0.155127,0.930762,0,0.387817,0.129272,1.370288,0.180981,1.163452,0,0.077563,0,0.051709,0.025854,0.051709,0,0.23269,0.077563,0.155127,0.051709,0,0,0,0,0.129272,0,0.025854,0.129272,0,0.077563,0.051709,0.051709,0,0.775635,0.129272,0.129272,0,0.025854,0.879053,0.155127,0.206836,0.103418,0.465381,0.180981,0.129272,0.077563,0,0,0.025854,0.025854,0,0.025854,0.077563,0.025854,0,0,0.025854,0,0,0.180981,0.258545,0,0,0.051709,0,0.025854,0,0,0.051709,0.025854,0,0,0,0,0.025854,0,0,0.025854,0,0,0,0,0,0,0.23269,0,0,0.155127,0,0,0,0,0,0.077563,0,0,0,0,0,0,0,0,0.025854,0,0.025854,0.103418,0,0,0,0,0,0,0,0,0,0,0,0,0.051709,0,0.051709,0,0,0.025854,0.129272,0,0,0,0.051709,0.051709,0.129272,0,0,0.051709,0.129272,0,0,0,0,0,0,0,0,0.025854,0,0,0,0,0,0.723926,0,0,0,0.025854,0.025854,0,0.051709,0,0,0,0.025854,0,0.077563,0,0.025854,0.025854,0.025854,0.051709,0.025854,0.103418,0.077563,0.155127,0.051709,0.258545,0,0.051709,0,0,0,0.025854,0.025854,0.051709,0.025854,0,0.025854,0.025854,0,0,0.025854,0.051709,0,0,0,0.025854,0,0.025854,0,0.025854,0,0,0,0,0,0.025854,0,0,0.025854,0.025854,0.025854,0.025854,0,0,0,0,0,0,0,0.180981,0,0.879053,0.258545,0,0,0,0,0,positiv
0.239585,0.50579,0.212964,0.372687,0.479169,2.475709,0,0.53241,0.026621,3.673632,0.159723,1.0382,0,0.079862,0.053241,0.053241,0.079862,0.212964,0,0.159723,0.053241,0.479169,0.50579,0,0.026621,0.053241,0.053241,0.239585,0,0,0.026621,0.053241,0.106482,0.053241,0.133103,0.026621,1.54399,1.091442,0.079862,0,0.212964,1.969919,0.186344,0.346067,0.106482,0.50579,0.026621,0.053241,0.133103,0,0,0.026621,0,0,0.053241,0.053241,0,0,0,0,0.026621,0,0.212964,0.612272,0,0.026621,0.053241,0.026621,0,0.053241,0.026621,0,0.079862,0.026621,0,0,0,0.026621,0,0,0.186344,0,0,0,0,0,0,0.159723,0,0.053241,0.479169,0,0,0,0,0.026621,0,0,0,0.026621,0,0.026621,0,0,0,0,0.026621,0,0.026621,0,0,0,0.053241,0,0,0,0.079862,0.053241,0,0,0.026621,0.053241,0,0.026621,0.026621,0.106482,0.079862,0.133103,0.026621,0,0,0.346067,0.106482,1.091442,0,0,0.133103,0.079862,0,0,0,0.053241,0.239585,0,0,0.026621,0.133103,0,0,0,0,0,1.304406,0.133103,0,0,0,0,0,0.053241,0,0,0,0,0,0.026621,0.026621,0,0,0,0.292826,0.133103,0.106482,0.292826,0,0.053241,0.133103,0.026621,0.079862,0,0,0,0,0,0,0.026621,0,0.053241,0.053241,0.026621,0,0,0,0,0.026621,0,0,0,0,0,0,0,0,0.026621,0,0,0.026621,0,0,0,0,0,0,0,0,0,0,0,0.026621,0.026621,0.212964,0,1.730334,0.612272,0,0,0.026621,0,0,positiv
0.439088,0.395179,0.087818,0.812312,0.109772,1.931985,0,0.548859,0,2.700389,0.241498,0.70254,0,0.087818,0,0.021954,0.35127,0.043909,0.043909,0.087818,0.065863,0.109772,0.878175,0,0,0.043909,0.043909,0.241498,0.021954,0.065863,0,0.021954,0.680586,0.021954,0.021954,0.065863,0.812312,0.768403,0.087818,0,0.307361,1.05381,0.131726,0.35127,0.175635,0.241498,0.153681,0.131726,0.043909,0.043909,0.021954,0,0,0,0.021954,0.021954,0,0,0,0,0,0,0.087818,0.592768,0,0,0.021954,0.065863,0,0,0.021954,0,0.35127,0,0,0,0,0,0,0,0.043909,0,0,0,0,0.021954,0,0.065863,0,0.065863,0.109772,0,0,0,0,0,0,0,0,0.043909,0,0,0,0.021954,0,0,0,0,0,0,0,0.021954,0.021954,0,0,0.021954,0.043909,0.021954,0,0,0.043909,0.021954,0,0.197589,0.021954,0.109772,0.065863,0.131726,0.065863,0.021954,0.043909,0.768403,0.658631,0.768403,0.021954,0.373224,0.021954,0.065863,0,0,0.021954,0.153681,0,0,0,0.021954,0.043909,0,0,0,0.087818,0.021954,0.021954,0.065863,0.021954,0.043909,0,0,0,0.021954,0,0,0,0,0.021954,0.087818,0.021954,0.043909,0.021954,0,0.175635,0.087818,0.175635,0.043909,0.043909,0.021954,0.043909,0.043909,0.021954,0.043909,0,0.043909,0,0,0.021954,0,0,0.021954,0.021954,0.021954,0.065863,0.043909,0,0,0.021954,0.021954,0,0.021954,0,0,0,0,0,0.021954,0,0,0,0,0,0,0,0.021954,0,0.021954,0,0,0,0.043909,0,0,0.087818,0,1.05381,0.592768,0,0,0,0,0.021954,positiv
0.070685,0.68918,0.053014,0.406439,0.159042,1.042605,0,0.795208,0.017671,1.095619,0.636166,1.855484,0,0.053014,0,0.070685,0,0.053014,0,0.176713,0.106028,0.159042,0.070685,0,0,0.070685,0,0.441782,0.070685,0.123699,0.017671,0.017671,0.053014,0.017671,0.106028,0.070685,0.530138,0.106028,0.035343,0,0.053014,0.97192,0.265069,0.406439,0.318083,0.865893,0.212055,0.159042,0.070685,0.053014,0.035343,0.070685,0.017671,0.070685,0.159042,0.14137,0,0.070685,0,0.017671,0,0,0.229727,0.265069,0,0.017671,0,0.035343,0.017671,0,0,0.070685,0,0,0,0,0,0,0,0.017671,0.017671,0,0,0,0.017671,0,0,0.159042,0,0.070685,0.159042,0,0,0.017671,0,0,0.017671,0,0,0,0,0,0,0.017671,0,0.035343,0,0.017671,0,0,0,0.017671,0.017671,0.053014,0,0.017671,0.070685,0.070685,0,0,0,0.017671,0.017671,0.017671,0,0.335754,0.017671,0.106028,0.070685,0,0.088356,0,0.017671,0.106028,0,0,0.088356,0.017671,0,0,0.017671,0,0.070685,0,0,0.017671,0.035343,0,0,0,0,0,0.494796,0.017671,0,0,0.088356,0,0,0.035343,0,0,0.017671,0,0,0.106028,0.053014,0.035343,0.035343,0,0.176713,0.123699,0.318083,0.123699,0.159042,0.106028,0.54781,0.035343,0.035343,0.053014,0.035343,0,0.035343,0.017671,0.053014,0.017671,0.070685,0.159042,0.123699,0.053014,0.017671,0.035343,0.017671,0,0.017671,0.017671,0,0,0,0.053014,0,0,0.017671,0.035343,0,0,0.017671,0,0.017671,0.017671,0.017671,0.017671,0,0,0,0,0,0,0.017671,0,0.229727,0,0.901235,0.265069,0,0,0.017671,0,0,positiv
